iri,iri label,pathological entity,pathological entity label
,,NCIT:C5240,"Ovarian Transitional Cell Carcinoma"
,,NCIT:C3679,"Oxyphilic Adenocarcinoma"
,,NCIT:C7073,"Paget Disease"
,,NCIT:C5598,"Paget Disease of the Anus"
,,NCIT:C47857,"Paget Disease of the Breast"
,,NCIT:C27817,"Paget Disease of the Penis"
,,NCIT:C4027,"Paget Disease of the Vulva"
,,NCIT:C4649,"Palate Squamous Cell Carcinoma"
,,NCIT:C7977,"Pancreatic Acinar Cell Carcinoma"
,,NCIT:C95546,"Pancreatic Acinar Cell Cystadenoma"
,,NCIT:C8294,"Pancreatic Adenocarcinoma"
,,NCIT:C3850,"Pancreatic Carcinoma"
,,NCIT:C3874,"Pancreatic Cystadenocarcinoma"
,,NCIT:C4374,"Pancreatic Cystadenoma"
,,NCIT:C28396,"Pancreatic Delta Cell Neuroendocrine Tumor"
,,NCIT:C9120,"Pancreatic Ductal Adenocarcinoma"
,,NCIT:C9069,"Pancreatic Gastrin-Producing Neuroendocrine Tumor"
,,NCIT:C3062,"Pancreatic Glucagon-Producing Neuroendocrine Tumor"
,,NCIT:C3140,"Pancreatic Insulin-Producing Neuroendocrine Tumor"
,,NCIT:C5726,"Pancreatic Intraductal Papillary-Mucinous Neoplasm with an Associated Invasive Carcinoma"
,,NCIT:C95507,"Pancreatic Intraductal Tubulopapillary Neoplasm with an Associated Invasive Carcinoma"
,,NCIT:C95582,"Pancreatic Large Cell Neuroendocrine Carcinoma"
,,NCIT:C95471,"Pancreatic Macrocystic Serous Cystadenoma"
,,NCIT:C3770,"Pancreatic Neuroendocrine Carcinoma"
,,NCIT:C27720,"Pancreatic Neuroendocrine Tumor"
,,NCIT:C95584,"Pancreatic Neuroendocrine Tumor G1"
,,NCIT:C45835,"Pancreatic Neuroendocrine Tumor G2"
,,NCIT:C5712,"Pancreatic Serous Cystadenoma"
,,NCIT:C95583,"Pancreatic Small Cell Neuroendocrine Carcinoma"
,,NCIT:C27454,"Pancreatic VIP-Producing Neuroendocrine Tumor"
,,NCIT:C9134,"Papillary Breast Carcinoma"
,,NCIT:C2927,"Papillary Carcinoma"
,,NCIT:C4319,"Papillary Ependymoma"
,,NCIT:C92554,"Papillary Glioneuronal Tumor"
,,NCIT:C7526,"Papillary Intralymphatic Angioendothelioma"
,,NCIT:C5650,"Papillary Lung Adenocarcinoma"
,,NCIT:C3904,"Papillary Meningioma"
,,NCIT:C6975,"Papillary Renal Cell Carcinoma"
,,NCIT:C92624,"Papillary Tumor of the Pineal Region"
,,NCIT:C7440,"Papilloma"
,,NCIT:C3308,"Paraganglioma"
,,NCIT:C8193,"Paranasal Sinus Squamous Cell Carcinoma"
,,NCIT:C3916,"Parathyroid Gland Adenoma"
,,NCIT:C4906,"Parathyroid Gland Carcinoma"
,,NCIT:C5941,"Parotid Gland Adenocarcinoma"
,,NCIT:C5937,"Parotid Gland Adenoid Cystic Carcinoma"
,,NCIT:C6791,"Parotid Gland Carcinoma"
,,NCIT:C5974,"Parotid Gland Carcinoma ex Pleomorphic Adenoma"
,,NCIT:C35832,"Parotid Gland Carcinosarcoma"
,,NCIT:C6847,"Parotid Gland Monomorphic Adenoma"
,,NCIT:C5938,"Parotid Gland Mucoepidermoid Carcinoma"
,,NCIT:C4650,"Parotid Gland Pleomorphic Adenoma"
,,NCIT:C5942,"Parotid Gland Squamous Cell Carcinoma"
,,NCIT:C5946,"Parotid Gland Undifferentiated Carcinoma"
,,NCIT:C66865,"Parotid Gland Warthin Tumor"
,,NCIT:C4293,"Partial Hydatidiform Mole"
,,NCIT:C80297,"Pediatric Follicular Lymphoma"
,,NCIT:C80299,"Pediatric Nodal Marginal Zone Lymphoma"
,,NCIT:C39961,"Penile Basal Cell Carcinoma"
,,NCIT:C39963,"Penile Bowenoid Papulosis"
,,NCIT:C9061,"Penile Carcinoma"
,,NCIT:C27322,"Periampullary Adenocarcinoma"
,,NCIT:C4272,"Pericanalicular Fibroadenoma"
,,NCIT:C7631,"Pericardial Malignant Mesothelioma"
,,NCIT:C4973,"Perineurioma"
,,NCIT:C4302,"Periosteal Chondroma"
,,NCIT:C7357,"Periosteal Chondrosarcoma"
,,NCIT:C6594,"Peripheral Ganglioneuroblastoma"
,,NCIT:C6591,"Peripheral Neuroblastoma"
,,NCIT:C9341,"Peripheral Primitive Neuroectodermal Tumor"
,,NCIT:C8776,"Peripheral Primitive Neuroectodermal Tumor of Bone"
,,NCIT:C27471,"Peripheral Primitive Neuroectodermal Tumor of Soft Tissues"
,,NCIT:C4340,""Peripheral T-Cell Lymphoma, Not Otherwise Specified""
,,NCIT:C9350,"Peritoneal Malignant Mesothelioma"
,,NCIT:C6536,"Peritoneal Multicystic Mesothelioma"
,,NCIT:C45661,"Peritoneal Well Differentiated Papillary Mesothelioma"
,,NCIT:C102872,"Pharyngeal Squamous Cell Carcinoma"
,,NCIT:C9129,""Philadelphia Chromosome Negative, BCR-ABL1 Positive Chronic Myelogenous Leukemia""
,,NCIT:C9128,""Philadelphia Chromosome Positive, BCR-ABL1 Positive Chronic Myelogenous Leukemia""
,,NCIT:C121974,"Ph-Like Acute Lymphoblastic Leukemia"
,,NCIT:C2977,"Phyllodes Tumor"
,,NCIT:C4047,"Pilocytic Astrocytoma"
,,NCIT:C4114,"Pilomatrical Carcinoma"
,,NCIT:C7368,"Pilomatricoma"
,,NCIT:C40315,"Pilomyxoid Astrocytoma"
,,NCIT:C6965,"Pineal Parenchymal Cell Neoplasm"
,,NCIT:C6967,"Pineal Parenchymal Tumor of Intermediate Differentiation"
,,NCIT:C9344,"Pineoblastoma"
,,NCIT:C6966,"Pineocytoma"
,,NCIT:C3329,"Pituitary Gland Adenoma"
,,NCIT:C4536,"Pituitary Gland Carcinoma"
,,NCIT:C43542,"Pituitary Gland Macroadenoma"
,,NCIT:C43541,"Pituitary Gland Microadenoma"
,,NCIT:C3180,"Plasma Cell Leukemia"
,,NCIT:C3242,"Plasma Cell Myeloma"
,,NCIT:C7242,"Plasma Cell Myeloma Post-Transplant Lymphoproliferative Disorder"
,,NCIT:C7224,"Plasmablastic Lymphoma"
,,NCIT:C9349,"Plasmacytoma"
,,NCIT:C3705,"Pleomorphic Liposarcoma"
,,NCIT:C4258,"Pleomorphic Rhabdomyosarcoma"
,,NCIT:C39747,"Pleomorphic Variant Mantle Cell Lymphoma"
,,NCIT:C4323,"Pleomorphic Xanthoastrocytoma"
,,NCIT:C7376,"Pleural Malignant Mesothelioma"
,,NCIT:C45660,"Pleural Well Differentiated Papillary Mesothelioma"
,,NCIT:C5669,"Pleuropulmonary Blastoma"
,,NCIT:C45916,"Plurihormonal Pituitary Gland Adenoma"
,,NCIT:C3336,"Polycythemia Vera"
,,NCIT:C41232,""Polycythemia Vera, Polycythemic Phase""
,,NCIT:C41233,""Polycythemia Vera, Post-Polycythemic Myelofibrosis Phase""
,,NCIT:C7183,"Polymorphic Post-Transplant Lymphoproliferative Disorder"
,,NCIT:C45476,"Polymorphus Hemangioendothelioma"
,,NCIT:C95743,"Poorly Cohesive Gastric Carcinoma"
,,NCIT:C42047,"Poorly Differentiated Neuroblastoma"
,,NCIT:C27916,"Poorly Differentiated Prostate Adenocarcinoma"
,,NCIT:C6040,"Poorly Differentiated Thyroid Gland Carcinoma"
,,NCIT:C27273,"Poroma"
,,NCIT:C35693,"Posterior Pharyngeal Wall Squamous Cell Carcinoma"
,,NCIT:C8587,"Precancerous Polyp"
,,NCIT:C4834,"Primary Bone Osteosarcoma"
,,NCIT:C7155,"Primary Central Chondrosarcoma"
,,NCIT:C6860,"Primary Cutaneous Anaplastic Large Cell Lymphoma"
,,NCIT:C45366,"Primary Cutaneous CD4-Positive Small/Medium-Sized T-Cell Lymphoma"
,,NCIT:C45339,"Primary Cutaneous CD8-Positive Aggressive Epidermotropic T-Cell Lymphoma"
,,NCIT:C45193,"Primary Cutaneous Diffuse Large B-Cell Lymphoma"
,,NCIT:C45194,""Primary Cutaneous Diffuse Large B-Cell Lymphoma, Leg Type""
,,NCIT:C45213,""Primary Cutaneous Diffuse Large B-Cell Lymphoma, Other""
,,NCIT:C7217,"Primary Cutaneous Follicle Center Lymphoma"
,,NCIT:C45340,"Primary Cutaneous Gamma-Delta T-Cell Lymphoma"
,,NCIT:C7230,"Primary Cutaneous Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue"
,,NCIT:C45332,""Primary Cutaneous Peripheral T-Cell Lymphoma, Rare Subtype""
,,NCIT:C6915,"Primary Effusion Lymphoma"
,,NCIT:C80298,"Primary Intestinal Follicular Lymphoma"
,,NCIT:C2862,"Primary Myelofibrosis"
,,NCIT:C41238,""Primary Myelofibrosis, Fibrotic Stage""
,,NCIT:C41237,""Primary Myelofibrosis, Prefibrotic Stage""
,,NCIT:C40022,"Primary Peritoneal Carcinoma"
,,NCIT:C40023,"Primary Peritoneal Serous Adenocarcinoma"
,,NCIT:C7695,"Primary Peritoneal Serous Papillary Adenocarcinoma"
,,NCIT:C39898,"Primary Prostate Urothelial Carcinoma"
,,NCIT:C3342,"Prolactin-Producing Pituitary Gland Adenoma"
,,NCIT:C5962,"Prolactin-Producing Pituitary Gland Carcinoma"
,,NCIT:C3181,"Prolymphocytic Leukemia"
,,NCIT:C111692,"Proneural Glioblastoma"
,,NCIT:C5596,"Prostate Acinar Adenocarcinoma"
,,NCIT:C2919,"Prostate Adenocarcinoma"
,,NCIT:C5539,"Prostate Adenoid Cystic Carcinoma"
,,NCIT:C4795,"Prostate Adenoma"
,,NCIT:C5538,"Prostate Adenosquamous Carcinoma"
,,NCIT:C39902,"Prostate Basal Cell Carcinoma"
,,NCIT:C4863,"Prostate Carcinoma"
,,NCIT:C6813,"Prostate Ductal Adenocarcinoma"
,,NCIT:C7574,"Prostate Phyllodes Tumor"
,,NCIT:C6766,"Prostate Small Cell Carcinoma"
,,NCIT:C5536,"Prostate Squamous Cell Carcinoma"
,,NCIT:C39905,"Prostate Stromal Proliferation of Uncertain Malignant Potential"
,,NCIT:C5524,"Prostate Stromal Sarcoma"
,,NCIT:C5597,"Prostate Undifferentiated Carcinoma"
,,NCIT:C4320,"Protoplasmic Astrocytoma"
,,NCIT:C115334,"Proximal Urethral Carcinoma"
,,NCIT:C4331,"Psammomatous Meningioma"
,,NCIT:C121668,"Pseudomyogenic Hemangioendothelioma"
,,NCIT:C5381,"Pulmonary Artery Choriocarcinoma"
,,NCIT:C3732,"Pulmonary Blastoma"
,,NCIT:C27513,"Radiation-Related Angiosarcoma"
,,NCIT:C53706,"Radiation-Related Osteosarcoma"
,,NCIT:C82595,"RAEB with Fibrosis"
,,NCIT:C7167,"RAEB-1"
,,NCIT:C7168,"RAEB-2"
,,NCIT:C9383,"Rectal Adenocarcinoma"
,,NCIT:C5546,"Rectal Adenoma"
,,NCIT:C5621,"Rectal Adenoma with Severe Dysplasia"
,,NCIT:C96480,"Rectal Adenomatous Polyp"
,,NCIT:C43594,"Rectal Adenosquamous Carcinoma"
,,NCIT:C9382,"Rectal Carcinoma"
,,NCIT:C60640,"Rectal Medullary Carcinoma"
,,NCIT:C7973,"Rectal Mucinous Adenocarcinoma"
,,NCIT:C96487,"Rectal Serrated Adenocarcinoma"
,,NCIT:C96465,"Rectal Sessile Serrated Adenoma/Polyp"
,,NCIT:C9168,"Rectal Signet Ring Cell Adenocarcinoma"
,,NCIT:C60639,"Rectal Small Cell Neuroendocrine Carcinoma"
,,NCIT:C5554,"Rectal Squamous Cell Carcinoma"
,,NCIT:C96463,"Rectal Traditional Serrated Adenoma"
,,NCIT:C96477,"Rectal Tubular Adenoma"
,,NCIT:C5620,"Rectal Tubulovillous Adenoma"
,,NCIT:C7974,"Rectal Undifferentiated Carcinoma"
,,NCIT:C4919,"Rectal Villous Adenoma"
,,NCIT:C43584,"Rectosigmoid Adenocarcinoma"
,,NCIT:C7421,"Rectosigmoid Carcinoma"
,,NCIT:C43592,"Rectosigmoid Mucinous Adenocarcinoma"
,,NCIT:C43593,"Rectosigmoid Signet Ring Cell Carcinoma"
,,NCIT:C2872,"Refractory Anemia"
,,NCIT:C7506,"Refractory Anemia with Excess Blasts"
,,NCIT:C4036,"Refractory Anemia with Ring Sideroblasts"
,,NCIT:C82616,"Refractory Anemia with Ring Sideroblasts Associated with Marked Thrombocytosis"
,,NCIT:C82596,"Refractory Cytopenia of Childhood"
,,NCIT:C8574,"Refractory Cytopenia with Multilineage Dysplasia"
,,NCIT:C27726,"Refractory Cytopenia with Multilineage Dysplasia and Ring Sideroblasts"
,,NCIT:C82591,"Refractory Cytopenia with Unilineage Dysplasia"
,,NCIT:C82593,"Refractory Neutropenia"
,,NCIT:C82594,"Refractory Thrombocytopenia"
,,NCIT:C9385,"Renal Cell Carcinoma"
,,NCIT:C39802,"Renal Cell Carcinoma Associated with inv(X)(p11;q12)"
,,NCIT:C37874,"Renal Cell Carcinoma Associated with t(X;1)(p11.2;p34)"
,,NCIT:C37872,"Renal Cell Carcinoma Associated with t(X;1)(p11.2;q21)"
,,NCIT:C37876,"Renal Cell Carcinoma Associated with t(X;17)(p11.2;q25)"
,,NCIT:C27891,"Renal Cell Carcinoma Associated with Xp11.2 Translocations/TFE3 Gene Fusions"
,,NCIT:C6142,"Renal Pelvis Carcinoma"
,,NCIT:C6148,"Renal Pelvis Papillary Urothelial Carcinoma"
,,NCIT:C7355,"Renal Pelvis Urothelial Carcinoma"
,,NCIT:C27511,"Retiform Hemangioendothelioma"
,,NCIT:C39783,"Retinal Hemangioblastoma"
,,NCIT:C7541,"Retinoblastoma"
,,NCIT:C66812,"Retinocytoma"
,,NCIT:C7352,"Retroperitoneal Carcinoma"
,,NCIT:C6909,"Rhabdoid Meningioma"
,,NCIT:C3808,"Rhabdoid Tumor"
,,NCIT:C8715,"Rhabdoid Tumor of the Kidney"
,,NCIT:C3358,"Rhabdomyoma"
,,NCIT:C3359,"Rhabdomyosarcoma"
,,NCIT:C4259,"Rhabdomyosarcoma with Mixed Embryonal and Alveolar Features"
,,NCIT:C67559,"Rosette-Forming Glioneuronal Tumor of the Fourth Ventricle"
,,NCIT:C8021,"Salivary Gland Adenocarcinoma"
,,NCIT:C8026,"Salivary Gland Adenoid Cystic Carcinoma"
,,NCIT:C35737,"Salivary Gland Adenosquamous Carcinoma"
,,NCIT:C9272,"Salivary Gland Carcinoma"
,,NCIT:C40410,"Salivary Gland Carcinoma ex Pleomorphic Adenoma"
,,NCIT:C62191,""Salivary Gland Clear Cell Carcinoma, Not Otherwise Specified""
,,NCIT:C35701,"Salivary Gland Epithelial Myoepithelial Carcinoma"
,,NCIT:C35736,"Salivary Gland Lymphoepithelial Carcinoma"
,,NCIT:C3686,"Salivary Gland Monomorphic Adenoma"
,,NCIT:C5908,"Salivary Gland Mucoepidermoid Carcinoma"
,,NCIT:C35700,"Salivary Gland Myoepithelial Carcinoma"
,,NCIT:C40409,"Salivary Gland Pleomorphic Adenoma"
,,NCIT:C35703,"Salivary Gland Small Cell Carcinoma"
,,NCIT:C7991,"Salivary Gland Squamous Cell Carcinoma"
,,NCIT:C8024,"Salivary Gland Undifferentiated Carcinoma"
,,NCIT:C9118,"Sarcoma"
,,NCIT:C27004,"Sarcomatoid Carcinoma"
,,NCIT:C45655,"Sarcomatoid Mesothelioma"
,,NCIT:C27893,"Sarcomatoid Renal Cell Carcinoma"
,,NCIT:C3269,"Schwannoma"
,,NCIT:C121655,"Sclerosing Rhabdomyosarcoma"
,,NCIT:C4174,"Sebaceous Adenoma"
,,NCIT:C40310,"Sebaceous Carcinoma"
,,NCIT:C25765,"Secondary Acute Myeloid Leukemia"
,,NCIT:C27482,"Secondary Chondrosarcoma"
,,NCIT:C53704,"Secondary Osteosarcoma"
,,NCIT:C4189,"Secretory Breast Carcinoma"
,,NCIT:C4718,"Secretory Meningioma"
,,NCIT:C9309,"Seminoma"
,,NCIT:C40101,"Serous Adenocarcinoma"
,,NCIT:C40152,"Serous Endometrial Intraepithelial Carcinoma"
,,NCIT:C3366,"Sezary Syndrome"
,,NCIT:C3774,"Signet Ring Cell Carcinoma"
,,NCIT:C5250,"Signet Ring Cell Gastric Adenocarcinoma"
,,NCIT:C54250,"Skin Adenosquamous Carcinoma"
,,NCIT:C4489,"Skin Angiosarcoma"
,,NCIT:C2921,"Skin Basal Cell Carcinoma"
,,NCIT:C4914,"Skin Carcinoma"
,,NCIT:C4905,"Skin Hemangioma"
,,NCIT:C27509,"Skin Lymphangioma"
,,NCIT:C4614,"Skin Papilloma"
,,NCIT:C4819,"Skin Squamous Cell Carcinoma"
,,NCIT:C5453,"Skull Base Chordoma"
,,NCIT:C3915,"Small Cell Carcinoma"
,,NCIT:C125890,"Small Cell Glioblastoma"
,,NCIT:C4917,"Small Cell Lung Carcinoma"
,,NCIT:C7208,"Small Cell Variant Anaplastic Large Cell Lymphoma"
,,NCIT:C7888,"Small Intestinal Adenocarcinoma"
,,NCIT:C7724,"Small Intestinal Carcinoma"
,,NCIT:C43537,"Small Intestinal Medullary Carcinoma"
,,NCIT:C43536,"Small Intestinal Mucinous Adenocarcinoma"
,,NCIT:C43543,"Small Intestinal Signet Ring Cell Carcinoma"
,,NCIT:C27449,"Small Intestinal Small Cell Neuroendocrine Carcinoma"
,,NCIT:C7540,"Small Lymphocytic Lymphoma"
,,NCIT:C37203,"Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation"
,,NCIT:C36273,"Small Lymphocytic Lymphoma with Plasmacytoid Differentiation"
,,NCIT:C37206,"Small Lymphocytic Lymphoma with Unmutated Immunoglobulin Heavy Chain Variable-Region Gene"
,,NCIT:C7149,"Smoldering Plasma Cell Myeloma"
,,NCIT:C5651,"Solid Lung Adenocarcinoma with Mucin Production"
,,NCIT:C121681,"Solitary Circumscribed Neuroma"
,,NCIT:C7634,"Solitary Fibrous Tumor"
,,NCIT:C7812,"Solitary Osseous Plasmacytoma"
,,NCIT:C6932,"Solitary Plasmacytoma"
,,NCIT:C3381,"Spinal Cord Neoplasm"
,,NCIT:C4237,"Spindle Cell Melanoma"
,,NCIT:C6519,"Spindle Cell Rhabdomyosarcoma"
,,NCIT:C121654,"Spindle Cell/Sclerosing Rhabdomyosarcoma"
,,NCIT:C5117,"Spiradenocarcinoma"
,,NCIT:C4170,"Spiradenoma"
,,NCIT:C27007,"Spitz Nevus"
,,NCIT:C80308,""Splenic B-Cell Lymphoma/Leukemia, Unclassifiable""
,,NCIT:C80309,"Splenic Diffuse Red Pulp Small B-Cell Lymphoma"
,,NCIT:C4663,"Splenic Marginal Zone Lymphoma"
,,NCIT:C7566,"Sporadic Breast Carcinoma"
,,NCIT:C43529,"Sporadic Diffuse Gastric Adenocarcinoma"
,,NCIT:C27890,"Sporadic Papillary Renal Cell Carcinoma"
,,NCIT:C42596,"Sporadic Retinoblastoma"
,,NCIT:C46098,"Sporadic Thyroid Gland Medullary Carcinoma"
,,NCIT:C5177,"Squamous Cell Breast Carcinoma"
,,NCIT:C2929,"Squamous Cell Carcinoma"
,,NCIT:C7729,"Squamous Cell Carcinoma of the Penis"
,,NCIT:C3493,"Squamous Cell Lung Carcinoma"
,,NCIT:C45507,""Squamous Cell Lung Carcinoma, Basaloid Variant""
,,NCIT:C45503,""Squamous Cell Lung Carcinoma, Clear Cell Variant""
,,NCIT:C45502,""Squamous Cell Lung Carcinoma, Papillary Variant""
,,NCIT:C45504,""Squamous Cell Lung Carcinoma, Small Cell Variant""
,,NCIT:C3712,"Squamous Papilloma"
,,NCIT:C4444,"Stage 0 Ampulla of Vater Cancer"
,,NCIT:C7794,"Stage 0 Anal Canal Cancer"
,,NCIT:C4593,"Stage 0 Appendix Carcinoma"
,,NCIT:C6188,"Stage 0 Bladder Urothelial Carcinoma"
,,NCIT:C89550,"Stage 0 Cervical Cancer"
,,NCIT:C3638,"Stage 0 Colon Cancer"
,,NCIT:C8932,"Stage 0 Colorectal Cancer"
,,NCIT:C8629,"Stage 0 Esophageal Adenocarcinoma"
,,NCIT:C89771,"Stage 0 Esophageal Cancer"
,,NCIT:C5023,"Stage 0 Esophageal Squamous Cell Carcinoma"
,,NCIT:C4439,"Stage 0 Gallbladder Cancer"
,,NCIT:C7788,"Stage 0 Gastric Cancer"
,,NCIT:C27467,"Stage 0 Lung Cancer"
,,NCIT:C5729,"Stage 0 Pancreatic Cancer"
,,NCIT:C4853,"Stage 0 Rectal Cancer"
,,NCIT:C5017,"Stage 0 Rectosigmoid Cancer"
,,NCIT:C6193,"Stage 0 Renal Pelvis Urothelial Carcinoma"
,,NCIT:C4892,"Stage 0 Small Intestinal Cancer"
,,NCIT:C27093,"Stage 0 Squamous Cell Carcinoma"
,,NCIT:C4116,"Stage 0 Transitional Cell Carcinoma"
,,NCIT:C6149,"Stage 0 Ureter Urothelial Carcinoma"
,,NCIT:C9267,"Stage 0a Bladder Urothelial Carcinoma"
,,NCIT:C6202,"Stage 0a Renal Pelvis Urothelial Carcinoma"
,,NCIT:C3644,"Stage 0is Bladder Urothelial Carcinoma"
,,NCIT:C4597,"Stage 0is Renal Pelvis Urothelial Carcinoma"
,,NCIT:C9148,"Stromal Predominant Kidney Wilms Tumor"
,,NCIT:C6918,"Subcutaneous Panniculitis-Like T-Cell Lymphoma"
,,NCIT:C3696,"Subependymal Giant Cell Astrocytoma"
,,NCIT:C3795,"Subependymoma"
,,NCIT:C8187,"Subglottic Squamous Cell Carcinoma"
,,NCIT:C5958,"Sublingual Gland Adenocarcinoma"
,,NCIT:C8397,"Sublingual Gland Carcinoma"
,,NCIT:C5940,"Submandibular Gland Adenocarcinoma"
,,NCIT:C5935,"Submandibular Gland Adenoid Cystic Carcinoma"
,,NCIT:C8396,"Submandibular Gland Carcinoma"
,,NCIT:C5977,"Submandibular Gland Carcinoma ex Pleomorphic Adenoma"
,,NCIT:C5939,"Submandibular Gland Mucoepidermoid Carcinoma"
,,NCIT:C5943,"Submandibular Gland Squamous Cell Carcinoma"
,,NCIT:C5947,"Submandibular Gland Undifferentiated Carcinoma"
,,NCIT:C6814,"Superficial Fibromatosis"
,,NCIT:C9152,"Superficial Spreading Melanoma"
,,NCIT:C4945,"Supraglottic Squamous Cell Carcinoma"
,,NCIT:C6968,"Supratentorial Primitive Neuroectodermal Tumor"
,,NCIT:C6938,"Sweat Gland Carcinoma"
,,NCIT:C3761,"Syringoma"
,,NCIT:C9235,"Systemic Mastocytosis"
,,NCIT:C9284,"Systemic Mastocytosis with Associated Clonal Hematological non-Mast-Cell Lineage Disease"
,,NCIT:C3183,"T Acute Lymphoblastic Leukemia"
,,NCIT:C8694,"T Lymphoblastic Leukemia/Lymphoma"
,,NCIT:C6919,"T Lymphoblastic Lymphoma"
,,NCIT:C6903,"Tanycytic Ependymoma"
,,NCIT:C4664,"T-Cell Large Granular Lymphocyte Leukemia"
,,NCIT:C39586,"T-Cell Large Granular Lymphocyte Leukemia Expressing the T-Cell Receptor Gamma-Delta"
,,NCIT:C39584,""T-Cell Large Granular Lymphocyte Leukemia, Common Variant""
,,NCIT:C3466,"T-Cell Non-Hodgkin Lymphoma"
,,NCIT:C27897,"T-Cell Proliferation of Uncertain Malignant Potential"
,,NCIT:C4752,"T-Cell Prolymphocytic Leukemia"
,,NCIT:C36271,""T-Cell Prolymphocytic Leukemia, Cerebriform Cell Variant""
,,NCIT:C36270,""T-Cell Prolymphocytic Leukemia, Small Cell Variant""
,,NCIT:C9496,"T-Cell/Histiocyte-Rich Large B-Cell Lymphoma"
,,NCIT:C3402,"Tenosynovial Giant Cell Tumor"
,,NCIT:C3403,"Teratoma"
,,NCIT:C7733,"Testicular Choriocarcinoma"
,,NCIT:C8591,"Testicular Germ Cell Tumor"
,,NCIT:C7328,"Testicular Seminoma"
,,NCIT:C80683,"Therapy-Related Leukemia"
,,NCIT:C27722,"Therapy-Related Myelodysplastic Syndrome"
,,NCIT:C82397,"Therapy-Related Myelodysplastic/Myeloproliferative Neoplasm"
,,NCIT:C6459,"Thymic Adenocarcinoma"
,,NCIT:C6458,"Thymic Adenosquamous Carcinoma"
,,NCIT:C6430,"Thymic Carcinoid Tumor"
,,NCIT:C7569,"Thymic Carcinoma"
,,NCIT:C6462,"Thymic Clear Cell Carcinoma"
,,NCIT:C6461,"Thymic Large Cell Neuroendocrine Carcinoma"
,,NCIT:C7998,"Thymic Lymphoepithelioma-Like Carcinoma"
,,NCIT:C6457,"Thymic Mucoepidermoid Carcinoma"
,,NCIT:C6463,"Thymic Sarcomatoid Carcinoma"
,,NCIT:C6460,"Thymic Small Cell Carcinoma"
,,NCIT:C6455,"Thymic Squamous Cell Carcinoma"
,,NCIT:C35718,"Thymic Undifferentiated Carcinoma"
,,NCIT:C3411,"Thymoma"
,,NCIT:C6454,"Thymoma Type A"
,,NCIT:C6885,"Thymoma Type AB"
,,NCIT:C7114,"Thymoma Type B"
,,NCIT:C6887,"Thymoma Type B1"
,,NCIT:C6888,"Thymoma Type B2"
,,NCIT:C7997,"Thymoma Type B3"
,,NCIT:C27380,"Thyroid Gland Adenocarcinoma"
,,NCIT:C4815,"Thyroid Gland Carcinoma"
,,NCIT:C3502,"Thyroid Gland Follicular Adenoma"
,,NCIT:C8054,"Thyroid Gland Follicular Carcinoma"
,,NCIT:C3879,"Thyroid Gland Medullary Carcinoma"
,,NCIT:C46104,"Thyroid Gland Mixed Medullary and Follicular Cell Carcinoma"
,,NCIT:C4035,"Thyroid Gland Papillary Carcinoma"
,,NCIT:C46008,"Thyroid Gland Squamous Cell Carcinoma"
,,NCIT:C3878,"Thyroid Gland Undifferentiated (Anaplastic) Carcinoma"
,,NCIT:C8461,"Tibial Adamantinoma"
,,NCIT:C4648,"Tongue Squamous Cell Carcinoma"
,,NCIT:C27755,"Topoisomerase II Inhibitor-Related Acute Myeloid Leukemia"
,,NCIT:C6051,"Tracheal Adenoid Cystic Carcinoma"
,,NCIT:C9347,"Tracheal Carcinoma"
,,NCIT:C4448,"Tracheal Squamous Cell Carcinoma"
,,NCIT:C2930,"Transitional Cell Carcinoma"
,,NCIT:C4333,"Transitional Meningioma"
,,NCIT:C43326,"Trichilemmocarcinoma"
,,NCIT:C27132,"Trichoblastoma"
,,NCIT:C4113,"Tricholemmoma"
,,NCIT:C7019,"Trilateral Retinoblastoma"
,,NCIT:C71732,"Triple-Negative Breast Carcinoma"
,,NCIT:C3422,"Trophoblastic Tumor"
,,NCIT:C8011,"TSH-Producing Pituitary Gland Adenoma"
,,NCIT:C5965,"TSH-Producing Pituitary Gland Carcinoma"
,,NCIT:C9135,"Tubular Breast Carcinoma"
,,NCIT:C27886,"Type 1 Papillary Renal Cell Carcinoma"
,,NCIT:C27887,"Type 2 Papillary Renal Cell Carcinoma"
,,NCIT:C45231,"Type 3 Diffuse Large B-Cell Lymphoma"
,,NCIT:C7197,"Type A Lymphomatoid Papulosis"
,,NCIT:C7198,"Type B Lymphomatoid Papulosis"
,,NCIT:C7199,"Type C Lymphomatoid Papulosis"
,,NCIT:C40145,"Type I Endometrial Adenocarcinoma"
,,NCIT:C45626,"Type I Pleuropulmonary Blastoma"
,,NCIT:C39749,"Type II Endometrial Adenocarcinoma"
,,NCIT:C45627,"Type II Pleuropulmonary Blastoma"
,,NCIT:C45628,"Type III Pleuropulmonary Blastoma"
,,NCIT:C27756,"Typical Acute Promyelocytic Leukemia"
,,NCIT:C7204,"T-Zone Variant Peripheral T-Cell Lymphoma"
,,NCIT:C27892,"Unclassified Renal Cell Carcinoma"
,,NCIT:C3692,"Undifferentiated Carcinoma"
,,NCIT:C5476,"Undifferentiated Gastric Carcinoma"
,,NCIT:C4509,"Undifferentiated Ovarian Carcinoma"
,,NCIT:C4247,"Undifferentiated Pleomorphic Sarcoma"
,,NCIT:C66814,"Undifferentiated Retinoblastoma"
