Code	Preferred Term	Synonyms	Definition	Neoplastic Status
C35815	Granulocytic Sarcoma		"A tumor mass composed of myeloblasts, neutrophils and neutrophil precursors.  Granulocytic sarcoma is the most common type of myeloid sarcoma.  (WHO, 2001)"	Malignant
C7461	Growth Hormone-Producing Pituitary Gland Adenoma	GH Cell Adenoma|Growth Hormone Producing Adenoma of Pituitary Gland|Growth Hormone Producing Adenoma of Pituitary|Growth Hormone Producing Adenoma of the Pituitary Gland|Growth Hormone Producing Adenoma of the Pituitary|Growth Hormone Producing Pituitary Adenoma|Growth Hormone Producing Pituitary Gland Adenoma|Growth Hormone Secreting Adenoma of Pituitary Gland|Growth Hormone Secreting Adenoma of Pituitary|Growth Hormone Secreting Adenoma of the Pituitary Gland|Growth Hormone Secreting Adenoma of the Pituitary|Growth Hormone Secreting Pituitary Adenoma|Growth Hormone Secreting Pituitary Gland Adenoma|Somatotroph Adenoma	An adenoma of the anterior lobe of the pituitary gland that produces growth hormone.  The vast majority of cases are hormonally functioning and are associated with either gigantism or acromegaly.	Benign
C5963	Growth Hormone-Producing Pituitary Gland Carcinoma	Growth Hormone Producing Pituitary Gland Carcinoma|Malignant Growth Hormone Producing Neoplasm of Pituitary Gland|Malignant Growth Hormone Producing Neoplasm of Pituitary|Malignant Growth Hormone Producing Neoplasm of the Pituitary Gland|Malignant Growth Hormone Producing Neoplasm of the Pituitary|Malignant Growth Hormone Producing Pituitary Gland Neoplasm|Malignant Growth Hormone Producing Pituitary Gland Tumor|Malignant Growth Hormone Producing Pituitary Neoplasm|Malignant Growth Hormone Producing Pituitary Tumor|Malignant Growth Hormone Producing Tumor of Pituitary Gland|Malignant Growth Hormone Producing Tumor of Pituitary|Malignant Growth Hormone Producing Tumor of the Pituitary Gland|Malignant Growth Hormone Producing Tumor of the Pituitary|Malignant Growth Hormone Producing Tumor|Malignant Growth Hormone Secreting Neoplasm of Pituitary Gland|Malignant Growth Hormone Secreting Neoplasm of Pituitary|Malignant Growth Hormone Secreting Neoplasm of the Pituitary Gland|Malignant Growth Hormone Secreting Neoplasm of the Pituitary|Malignant Growth Hormone Secreting Pituitary Gland Neoplasm|Malignant Growth Hormone Secreting Pituitary Gland Tumor|Malignant Growth Hormone Secreting Pituitary Neoplasm|Malignant Growth Hormone Secreting Pituitary Tumor|Malignant Growth Hormone Secreting Tumor of Pituitary Gland|Malignant Growth Hormone Secreting Tumor of Pituitary|Malignant Growth Hormone Secreting Tumor of the Pituitary Gland|Malignant Growth Hormone Secreting Tumor of the Pituitary|Malignant Pituitary Gland Somatotropinoma|Malignant Pituitary Somatotropinoma|Malignant Somatotropinoma of Pituitary Gland|Malignant Somatotropinoma of Pituitary|Malignant Somatotropinoma of the Pituitary Gland|Malignant Somatotropinoma of the Pituitary	"A rare, hormonally functioning or non-functioning pituitary gland adenocarcinoma that produces growth hormone.  It may be associated with acromegaly."	Malignant
C7402	Hairy Cell Leukemia	Hairy Cell Leukemia|Leukemic Reticuloendotheliosis	"A neoplasm of small B-lymphocytes with ""hairy"" projections in bone marrow, spleen, and peripheral blood.  Most patients present with splenomegaly and pancytopenia. (WHO, 2001)"	Malignant
C7401	Hairy Cell Leukemia Variant	Prolymphocytic Variant of Hairy Cell Leukemia	"An indolent chronic B-cell leukemia resembling classic hairy cell leukemia but shows variant cytologic, hematologic, and immunophenotypic features and is resistant to the conventional therapy applied to hairy cell leukemia.  Biologically, it is not related to hairy cell leukemia."	Malignant
C7602	Halo Nevus		A benign melanocytic nevus with a halo appearance.	Benign
C6920	Hand-Schuller-Christian Disease		"A multifocal, unisystem form of Langerhans-cell histiocytosis. There is involvement of multiple sites in one organ system, most frequently the bone. Patients are usually young children presenting with multiple destructive bone lesions."	Undetermined
C35850	Head and Neck Carcinoma	Carcinoma of Head and Neck|Carcinoma of the Head and Neck|Head and Neck Carcinoma	"A carcinoma that arises from the head and neck region.  Representative examples include oral cavity squamous cell carcinoma, laryngeal squamous cell carcinoma, and salivary gland carcinoma."	Malignant
C34447	Head and Neck Squamous Cell Carcinoma	Head and Neck Squamous Cell Carcinoma|Squamous Cell Carcinoma of Head and Neck|Squamous Cell Carcinoma of the Head and Neck	"A squamous cell carcinoma that arises from any of the following anatomic sites: lip and oral cavity, nasal cavity, paranasal sinuses, pharynx, larynx, and salivary glands."	Malignant
C3082	Heavy Chain Disease	Heavy Chain Disease	A group of rare disorders of immunoglobulin synthesis associated with B-cell proliferative disorders.	Malignant
C27763	Helicobacter Pylori-Associated Gastric Mucosa-Associated Lymphoid Tissue Lymphoma	Helicobacter Pylori-Associated Gastric MALT	"A low grade, indolent B-cell lymphoma that is associated with Helicobacter pylori infection."	Malignant
C27765	Helicobacter Pylori-Related Gastric Adenocarcinoma		An adenocarcinoma that arises from the gastric mucosa and is caused by persistent infection with Helicobacter pylori.	Malignant
C3801	Hemangioblastoma	Angioblastoma|Capillary Hemangioblastoma|Hemangioblastoma	"A WHO grade I tumor of uncertain histogenesis which is composed of stromal cells and abundant capillaries. Approximately 25% of hemangioblastomas are associated with Von Hippel-Lindau disease, a disease inherited through an autosomal dominant trait and characterized by the development of hemangioblastomas of the central nervous system and retina, clear cell renal carcinoma, pheochromocytoma, and pancreatic and inner ear tumors. (Adapted from WHO)"	Undetermined
C3084	Hemangioendothelioma	Angioendothelioma	A vascular proliferation characterized by the presence of prominent endothelial cells and the formation of vascular channels. Hemangioendotheliomas may display borderline or low grade characteristics.	Undetermined
C3085	Hemangioma	Angioma|Benign Angioma|Benign Hemangioma	A benign vascular lesion characterized by the formation of capillary-sized or cavernous vascular channels.	Malignant
C27686	Hepatitis Virus-Related Hepatocellular Carcinoma	Hepatitis Virus Related Hepatocellular Carcinoma	A hepatocellular carcinoma that develops following hepatitis virus exposure and injury of the liver parenchyma.	Malignant
C3728	Hepatoblastoma	Pediatric Embryonal Hepatoma|Pediatric Hepatoblastoma	"A malignant liver neoplasm that occurs almost exclusively in infants, although isolated cases in older children and adults have been reported. Grossly, hepatoblastoma is solid, well circumscribed, and more often solitary than multiple. Microscopically, most of the tumors are composed exclusively of immature hepatocytic elements. About a fourth of hepatoblastomas contain a stromal component that may be undifferentiated or develop into bone or cartilage. The treatment of choice for hepatoblastoma is surgical excision with adjuvant therapy. Liver transplantation is being increasingly used as well."	Malignant
C3758	Hepatocellular Adenoma	Adenoma of Liver Cells|Adenoma of the Liver Cells|Liver Cell Adenoma	"A benign epithelial neoplasm arising from the hepatocytes. Grossly, it appears as a soft, round mass which often contains areas of hemorrhage and necrosis. Morphologically, the neoplastic cells resemble normal hepatocytes and form plates separated by sinusoids. Most patients have a history of contraceptive or anabolic steroids use."	Benign
C3099	Hepatocellular Carcinoma	Carcinoma of Liver Cells|Carcinoma of the Liver Cells|Hepatocellular Carcinoma|Hepatoma|Liver Cell Cancer (Hepatocellular Carcinoma)|Liver Cell Carcinoma|Primary Carcinoma of Liver Cells|Primary Carcinoma of the Liver Cells	"A malignant tumor that arises from hepatocytes. Hepatocellular carcinoma is relatively rare in the United States but very common in all African countries south of the Sahara and in Southeast Asia. Most cases are seen in patients over the age of 50 years, but this tumor can also occur in younger individuals and even in children. Hepatocellular carcinoma is more common in males than females and is associated with hepatitis B, hepatitis C, chronic alcohol abuse and cirrhosis. Serum elevation of alpha-fetoprotein occurs in a large percentage of patients with hepatocellular carcinoma. Grossly, hepatocellular carcinoma may present as a single mass, as multiple nodules, or as diffuse liver involvement. Microscopically, there is a wide range of differentiation from tumor to tumor (well differentiated to poorly differentiated tumors). Hepatocellular carcinomas quickly metastasize to regional lymph nodes and lung. The overall median survival of untreated liver cell carcinoma is about 4 months. The most effective treatment of hepatocellular carcinoma is complete resection of the tumor. Lately, an increasing number of tumors have been treated with liver transplantation."	Malignant
C8459	Hepatosplenic T-Cell Lymphoma	Hepatosplenic Gamma/Delta T-Cell Lymphoma|Hepatosplenic T-Cell Lymphoma	"An extranodal, mature T-cell non-Hodgkin lymphoma that originates from cytotoxic T-cells, usually of gamma/delta T-cell type.  It is characterized by the presence of medium-size neoplastic lymphocytes infiltrating the hepatic sinusoids.  A similar infiltrating pattern is also present in the spleen and bone marrow that are usually involved at the time of the diagnosis."	Malignant
C53556	HER2 Positive Breast Carcinoma	ERBB2 Overexpressing Subtype of Breast Carcinoma|HER2 Overexpressing Breast Carcinoma|HER2 Overexpressing Subtype of Breast Carcinoma	"A biologic subset of breast carcinoma defined by high expression of HER2, GRB7, and TRAP100, and by lack of expression of estrogen receptor (ER)."	Malignant
C4503	Hereditary Breast Carcinoma	Familial Breast Carcinoma|Familial Cancer of Breast|Familial Cancer of the Breast|Hereditary Breast Cancer	Breast carcinoma that has developed in relatives of patients with history of breast carcinoma.	Malignant
C36260	Hereditary Clear Cell Renal Cell Carcinoma	Hereditary Conventional (Clear Cell) Renal Cell Carcinoma	"A manifestation of von Hippel-Lindau disease or other familial renal cell cancer syndromes that present as a malignant epithelial neoplasm of the kidney.  It is characterized by the presence of lipid-containing clear cells within a vascular network.  The tumor usually is bilateral and polycentric, and metastasizes to unusual sites. Late metastasis is common."	Malignant
C43295	Hereditary Diffuse Gastric Adenocarcinoma	Hereditary Diffuse Gastric Cancer	An autosomal dominant inherited adenocarcinoma that arises from the gastric mucosa and is characterized by the presence of poorly cohesive malignant cells and absence of glandular formations.	Malignant
C40455	Hereditary Fallopian Tube Carcinoma	Familial Fallopian Tube Carcinoma	Fallopian tube carcinoma that has developed in relatives of patients that have a history of fallopian tube carcinoma.	Malignant
C36102	Hereditary Ovarian Carcinoma	Familial Ovarian Carcinoma	Ovarian carcinoma that has developed in relatives of patients that have a history of ovarian carcinoma.	Malignant
C43298	Hereditary Pancreatic Carcinoma	Familial Pancreatic Cancer|Familial Pancreatic Carcinoma|Hereditary Pancreatic Cancer	"A carcinoma that arises from the pancreas in a patient with a family history of pancreatic cancer.  In the minority of cases, patients have recognized genetic syndromes (e.g., FAMMM syndrome, BRCA2 syndrome, Peutz-Jeghers syndrome) however, in the majority of cases the genetic cause has not been identified."	Malignant
C9222	Hereditary Papillary Renal Cell Carcinoma	Familial Renal Papillary Carcinoma|Hereditary Kidney Papillary Carcinoma|Hereditary Papillary Carcinoma of Kidney|Hereditary Papillary Carcinoma of the Kidney|Hereditary Papillary Renal Carcinoma	"A familiar carcinoma inherited in an autosomal dominant trait.  It is characterized by the development of multiple, bilateral papillary renal cell carcinomas.  The carcinomas range from microscopic lesions to clinically symptomatic tumors.  It is associated with activating mutations of the MET oncogene."	Malignant
C103817	Hereditary Prostate Carcinoma		Prostate carcinoma that has developed in relatives of patients with a history of prostate carcinoma.	Malignant
C8495	Hereditary Retinoblastoma	Familial Retinoblastoma	"An inherited malignant tumor that originates in the nuclear layer of the retina. A predisposition to retinoblastoma has been associated with 13q14 cytogenetic abnormalities. Patients with the inherited form appear to be at increased risk for secondary nonocular malignancies such as osteosarcoma, malignant fibrous histiocytoma, and fibrosarcoma."	Malignant
C46099	Hereditary Thyroid Gland Medullary Carcinoma	Familial Thyroid Gland Medullary Carcinoma	A medullary thyroid gland carcinoma inherited through an autosomal dominant mode.  It is associated with multiple endocrine neoplasia type II (2a) or III (2b).	Malignant
C8496	Hereditary Wilms Tumor	Familial Wilms Tumor|Familial Wilms' Tumor|Hereditary Kidney Adenosarcoma|Hereditary Nephroblastoma|Hereditary Renal Adenosarcoma|Hereditary Wilms' Tumor	"Familial embryonal neoplasm derived from nephrogenic blastemal cells.  Several lines of differentiation, including blastemal, stromal and epithelial, are usually expressed.  Comprises approximately 1% of Wilms tumors.  (AFIP fascicle version 2.0)"	Malignant
C54664	Hidradenocarcinoma	Clear Cell Eccrine Carcinoma	"A carcinoma with apocrine and less often eccrine differentiation, arising from the sweat glands. It usually presents as a solitary slow growing nodule in the dermis or subcutaneous tissues. It is characterized by a nodular growth pattern and it is often associated with necrotic changes."	Malignant
C7563	Hidradenoma	Acrospiroma|Eccrine Acrospiroma	A benign epithelial neoplasm arising from the sweat glands. Variants include the clear cell and nodular hidradenoma.	Benign
C3760	Hidrocystoma	Hydrocystoma	"A benign cystic proliferation of the sweat glands with apocrine or eccrine differentiation. It usually presents as a dome-shaped, cystic papular or nodular lesion usually in the face and neck. It is a unilocular or mutlilocular lesion lined by an inner and an outer layer of epithelium. Complete excision is usually curative."	Benign
C96421	High Grade Appendix Mucinous Adenocarcinoma		"A mucinous adenocarcinoma that arises from the appendix. The malignant cells are numerous and exhibit high grade dysplasia.  It may be associated with pseudomyxoma peritonei, but unlike the low grade mucinous neoplasm, it invades other organs and metastasizes to distant anatomic sites."	Malignant
C102897	High Grade Astrocytic Tumor	High Grade Astrocytic Neoplasm|High-Grade Astrocytic Neoplasm|High-Grade Astrocytic Tumor	An anaplastic astrocytoma (grade III astrocytic tumor) or glioblastoma (grade IV astrocytic tumor).	Malignant
C105555	High Grade Ovarian Serous Adenocarcinoma	High-Grade Ovarian Serous Adenocarcinoma	A rapidly growing serous adenocarcinoma that arises from the ovary.  It is characterized by the presence of high grade cytologic features and frequent mitotic figures.	Malignant
C36077	Hilar Cholangiocarcinoma	Hilar CC|Klatskin Tumor	"A cholangiocarcinoma that arises from the junction, or adjacent to the junction, of the right and left hepatic ducts."	Malignant
C9294	Histiocytic and Dendritic Cell Neoplasm	Histiocytic and Dendritic Cell Neoplasms|Histiocytic and Dendritic Cell Tumors	"Rare tumors that affect the hematopoietic and lymphoid tissues.  The cells of origin are the histiocytes and accessory cells.  They can occur at any age and show no significant variations in geographical distribution.  This category includes the histiocytic sarcoma, Langerhans cell histiocytosis, Langerhans cell sarcoma, interdigitading dendritic cell sarcoma/tumor, follicular dendritic cell sarcoma/tumor, and dendritic cell sarcoma, not otherwise specified. (WHO, 2001)"	Undetermined
C27349	Histiocytic Sarcoma	Histiocytic Sarcoma	"An aggressive malignant neoplasm with a poor response to therapy, usually presenting as stage III/IV disease. It is characterized by the presence of neoplastic cells with morphologic and immunophenotypic characteristics similar to those seen in mature histiocytes."	Malignant
C9357	Hodgkin Lymphoma	Hodgkin's Disease|Hodgkin's Lymphoma	"A lymphoma, previously known as Hodgkin's disease, characterized by the presence of large tumor cells in an abundant admixture of nonneoplastic cells. There are two distinct subtypes: nodular lymphocyte predominant Hodgkin lymphoma and classical Hodgkin lymphoma. Hodgkin lymphoma involves primarily lymph nodes."	Malignant
C27684	Human Papillomavirus-Related Adenocarcinoma	HPV-Related Adenocarcinoma|Human Papilloma Virus Related Adenocarcinoma|Human Papilloma Virus-Related Adenocarcinoma		Malignant
C27676	Human Papillomavirus-Related Cervical Squamous Cell Carcinoma	HPV-Related Cervical Squamous Cell Carcinoma|Human Papilloma Virus Related Cervical Squamous Cell Carcinoma|Human Papilloma Virus-Related Cervical Squamous Cell Carcinoma	"A cervical squamous cell carcinoma associated with human papilloma virus infection. Histologic variants include papillary carcinoma, warty carcinoma, and squamotransitional carcinoma."	Malignant
C27679	Human Papillomavirus-Related Vulvar Squamous Cell Carcinoma	HPV-Related Vulvar Squamous Cell Carcinoma|Human Papilloma Virus Related Vulvar Squamous Cell Carcinoma|Human Papilloma Virus-Related Vulvar Squamous Cell Carcinoma	A squamous cell carcinoma that arises from the vulva and is caused by human papillomavirus infection.	Malignant
C121686	Hybrid Nerve Sheath Tumor	"Hybrid Nerve Sheath Neoplasm|Hybrid Neurofibroma-Perineurioma|Hybrid Neurofibroma-Schwannoma|Hybrid Schwannoma-Perineurioma|Nerve Sheath Tumor, NOS|Nerve Sheath Tumor, Not Otherwise Specified"	"A benign nerve sheath tumor characterized by the combination of histologic features seen in schwannomas, neurofibromas, and perineuriomas."	Benign
C3110	Hydatidiform Mole	Hydatid Mole|Molar Pregnancy	"A gestational trophoblastic disorder characterized by marked enlargement of the chorionic villi, hyperplasia of the villous trophoblastic cells and hydropic changes."	Undetermined
C45327	Hydroa Vacciniforme-Like Lymphoma	Hydroa Vacciniforme-Like Cutaneous T-Cell Lymphoma	"A rare, EBV-positive primary cutaneous T-cell lymphoma, composed of CD8 positive cytotoxic T-lymphocytes.  It is considered a variant of nasal type extranodal NK/T-cell lymphoma.  It affects children, almost exclusively in Latin America and Asia.  Patients present with papulovesicular skin lesions, clinically resembling hydroa vacciniforme, in areas of sun-exposed skin.  The prognosis is poor."	Malignant
C80344	Hyperdiploid B Acute Lymphoblastic Leukemia	Hyperdiploid ALL|Hyperdiploid Acute Lymphoblastic Leukemia|Hyperdiploid B-Acute Lymphoblastic Leukemia|Hyperdiploid B-Cell Acute Lymphoblastic Leukemia	A B-cell acute leukemia characterized by the presence of lymphoblasts which contain more than 50 and usually less than 66 chromosomes. It is commonly seen in children and rarely in adults. It has a favorable clinical outcome.	Malignant
C122686	Hypocellular Myelodysplastic Syndrome		Myelodysplastic syndrome characterized by decreased cellularity in the bone marrow.	Malignant
C80345	Hypodiploid B Acute Lymphoblastic Leukemia	Hypodiploid ALL|Hypodiploid Acute Lymphoblastic Leukemia|Hypodiploid B-Acute Lymphoblastic Leukemia|Hypodiploid B-Cell Acute Lymphoblastic Leukemia	A B-cell acute leukemia characterized by the presence of lymphoblasts which contain less than 46 chromosomes. It occurs in both children and adults. It has an unfavorable clinical outcome.	Malignant
C4043	Hypopharyngeal Squamous Cell Carcinoma	Epidermoid Carcinoma of Hypopharynx|Epidermoid Carcinoma of the Hypopharynx|Hypopharyngeal Epidermoid Carcinoma|Squamous Cell Carcinoma of Hypopharynx|Squamous Cell Carcinoma of the Hypopharynx	"A squamous cell carcinoma arising from the hypopharynx.  Signs and symptoms include dysphagia, hemoptysis, and the presence of a neck mass."	Malignant
C4286	Immature Teratoma	Immature Teratoma|Malignant Teratoma	"A teratoma composed of immature, fetal-type tissues."	Malignant
C3461	Immunoblastic Lymphoma		"A diffuse large B-cell lymphoma characterized by the presence of immunoblasts with uniformly round-to-oval nuclei, a prominent nucleolus, and abundant cytoplasm."	Malignant
C81767	Indeterminate Dendritic Cell Tumor	Indeterminate Cell Histiocytosis	"A very rare dendritic cell tumor composed of spindle to ovoid cells with a phenotype that is similar to the Langerhans cells.  Patients usually present with cutaneous papules, nodules, and plaques.  Systemic symptoms are usually absent.  The clinical course is variable."	Undetermined
C122617	Infant Acute Lymphoblastic Leukemia with MLL Rearrangement		An acute lymphoblastic leukemia with rearrangement of the MLL gene that occurs in infancy.	Malignant
C122621	Infant Acute Lymphoblastic Leukemia without MLL Gene Rearrangement		An acute lymphoblastic leukemia without rearrangement of the MLL gene that occurs in infancy.	Malignant
C122603	Infant Leukemia	Leukemia in Infancy	An acute lymphoblastic or acute myeloid leukemia that occurs in infancy.	Malignant
C4244	Infantile Fibrosarcoma	Congenital Fibrosarcoma	"A fibrosarcoma that occurs in infants.  It shares identical morphologic features with adult fibrosarcoma but carries the t(12;15)(p13;q25) translocation that results in ETV6-NTRK3 gene fusion.  It usually affects the superficial and deep soft tissues of the extremities.  The prognosis is generally much more favorable than for adult fibrosarcoma, and it rarely metastasizes."	Malignant
C27885	Infiltrating Bladder Urothelial Carcinoma	Infiltrating Bladder Urothelial Carcinoma|Infiltrating Transitional Cell Carcinoma of the Urinary Bladder|Invasive Bladder Transitional Cell Carcinoma|Invasive Bladder Urothelial Carcinoma|Invasive Transitional Cell Carcinoma of the Urinary Bladder	An invasive transitional cell carcinoma that arises from the urinary bladder urothelium.	Malignant
C8577	Infiltrating Cervical Carcinoma		A carcinoma that arises from the cervix and invades into the stromal tissue.	Malignant
C6186	"Infiltrating Renal Pelvis Urothelial Carcinoma, Sarcomatoid Variant"	Kidney Pelvis Sarcomatoid Transitional Cell Carcinoma|Sarcomatoid Transitional Cell Carcinoma of Kidney Pelvis|Sarcomatoid Transitional Cell Carcinoma of Renal Pelvis|Sarcomatoid Transitional Cell Carcinoma of the Kidney Pelvis|Sarcomatoid Transitional Cell Carcinoma of the Renal Pelvis		Malignant
C4001	Inflammatory Breast Carcinoma	Inflammatory Breast Cancer|Inflammatory Carcinoma of Breast|Inflammatory Carcinoma of the Breast|Mastitis Carcinomatosa	"An advanced, invasive breast adenocarcinoma characterized by the presence of distinct changes in the overlying skin. These changes include diffuse erythema, edema, peau d'orange (skin of an orange) appearance, tenderness, induration, warmth, enlargement, and in some cases a palpable mass. The skin changes are the consequence of lymphatic obstruction from the underlying invasive breast adenocarcinoma. Microscopically, the dermal lymphatics show prominent infiltration by malignant cells. The invasive breast adenocarcinoma is usually of ductal, NOS type. There is not significant inflammatory cell infiltrate present, despite the name of this carcinoma."	Malignant
C27495	Inflammatory Leiomyosarcoma		A morphologic variant of leiomyosarcoma characterized by the presence of an inflammatory infiltrate admixed with malignant spindle cells.	Malignant
C6481	Inflammatory Myofibroblastic Tumor	Inflammatory Fibrosarcoma|Inflammatory Myofibroblastic Neoplasm|Inflammatory Pseudotumor	"A multinodular intermediate fibroblastic neoplasm that arises from soft tissue or viscera, in children and young adults.  It is characterized by the presence of spindle-shaped fibroblasts and myofibroblasts, and a chronic inflammatory infiltrate composed of eosinophils, lymphocytes, and plasma cells."	Undetermined
C9282	Interdigitating Dendritic Cell Sarcoma	Interdigitating Cell Sarcoma/Tumor|Interdigitating Dendritic Cell Sarcoma/Tumor|Interdigitating Dendritic Cell Sarcoma	"A neoplastic proliferation of spindle to ovoid cells which show phenotypic features similar to those of interdigitating dendritic cells.  The clinical course is generally aggressive. (WHO, 2008)"	Malignant
C4126	Intestinal Type Adenocarcinoma	Intestinal Type Carcinoma	"An adenocarcinoma arising from epithelium which has undergone intestinal metaplasia. Representative examples include gastric, gallbladder, and ampulla of Vater intestinal type adenocarcinomas."	Malignant
C4271	Intracanalicular Fibroadenoma	Intracanalicular Breast Fibroadenoma|Intracanalicular Fibroadenoma of Breast|Intracanalicular Fibroadenoma of the Breast	A morphologic variant of fibroadenoma without clinical significance. It is characterized by distortion and compression of the ducts by proliferating stromal cells.	Benign
C3804	Intradermal Nevus	Dermal Nevus	A nevus characterized by the proliferation of nevus cells in the dermis without involvement of the dermal-epidermal junction.	Benign
C4190	Intraductal Papillary Breast Carcinoma	Intraductal Papillary Adenocarcinoma|Intraductal Papillary Breast Adenocarcinoma|Intraductal Papillary Carcinoma|Non-Infiltrating Intraductal Papillary Adenocarcinoma|Non-Infiltrating Intraductal Papillary Carcinoma|Non-Infiltrating Papillary Breast Adenocarcinoma|Non-Infiltrating Papillary Breast Carcinoma|Non-Invasive Intraductal Papillary Adenocarcinoma|Non-Invasive Intraductal Papillary Carcinoma|Non-Invasive Papillary Breast Adenocarcinoma|Non-Invasive Papillary Breast Carcinoma	"A non-invasive breast adenocarcinoma located in a distended duct. It is characterized by the presence of papillary structures with fibrovascular stalks. In the absence of ductal carcinoma in situ or invasive carcinoma in adjacent tissues, the prognosis is usually favorable."	Malignant
C96947	Intrahepatic Bile Duct Mucinous Cystic Neoplasm with an Associated Invasive Carcinoma	Intrahepatic Bile Duct Cystadenocarcinoma	A mucinous cystic neoplasm that arises from the intrahepatic bile ducts and it is associated with an invasive carcinomatous component.	Malignant
C35417	Intrahepatic Cholangiocarcinoma	Intrahepatic Bile Duct Carcinoma|Intrahepatic Carcinoma of Bile Duct|Intrahepatic Carcinoma of the Bile Duct	"A carcinoma that arises from the intrahepatic bile duct epithelium in any site of the intrahepatic biliary tree.  Grossly, the malignant lesions are solid, nodular, and grayish.  Morphologically, the vast majority of cases are adenocarcinomas.  Signs and symptoms include malaise, weight loss, right upper quadrant abdominal pain, and night sweats.  Early detection is difficult and the prognosis is generally poor."	Malignant
C95397	Intramucosal Adenocarcinoma		"A neoplastic lesion that shows morphologic evidence of invasion into the lamina propria or muscularis mucosa.  There is no evidence of invasion into the submucosa.  Evidence of invasion may refer to stromal invasion by single cells or clusters of cells, presence of atypical and complex glandular architectural patterns beyond those that are present in normal mucosa, desmoplasia, and/or vascular invasion."	Malignant
C7846	Intraocular Retinoblastoma		Retinoblastoma restricted to local involvement.	Malignant
C4342	Intravascular Large B-Cell Lymphoma	Angiotropic Large Cell Lymphoma|Angiotropic Lymphoma|Intravascular B-Cell Lymphoma|Malignant Angioendotheliomatosis	"A rare extranodal B-cell non-Hodgkin lymphoma, characterized by the presence of lymphoma cells exclusively in the lumina of small vessels, particularly capillaries.  This is an extremely aggressive lymphoma which responds poorly to chemotherapy.  (WHO, 2001) -- 2003"	Malignant
C9480	Invasive Carcinoma	Invasive Carcinoma	"A carcinoma that is not confined to the epithelium, and has spread to the surrounding stroma."	Malignant
C4194	"Invasive Ductal Carcinoma, Not Otherwise Specified"	"Infiltrating Ductal Adenocarcinoma|Infiltrating Ductal Breast Carcinoma|Infiltrating Ductal Carcinoma of Breast|Infiltrating Ductal Carcinoma of the Breast|Infiltrating Ductal Carcinoma|Invasive Ductal Adenocarcinoma|Invasive Ductal Breast Carcinoma|Invasive Ductal Carcinoma of Breast|Invasive Ductal Carcinoma of the Breast|Invasive Ductal Carcinoma, NOS|Invasive Ductal Carcinoma, NST|Invasive Ductal Carcinoma, No Specific Type|Invasive Ductal Carcinoma, Not Otherwise Specified|Invasive Ductal Carcinoma"	"The most common type of invasive breast carcinoma, accounting for approximately 70% of breast carcinomas.  The gross appearance is usually typical with an irregular stellate outline.  Microscopically, randomly arranged epithelial elements are seen.  When large sheets of malignant cells are present, necrosis may be seen.  With adequate tissue sampling, in situ carcinoma can be demonstrated in association with the infiltrating carcinoma.  The in situ component is nearly always ductal but occasionally may be lobular or both."	Malignant
C6985	Invasive Hydatidiform Mole	Chorioadenoma Destruens|Chorioadenoma|Invasive Gestational Trophoblastic Neoplasm|Invasive Mole	A complete hydatidiform mole or very rarely a partial mole that invades the myometrium.	Malignant
C7950	Invasive Lobular Breast Carcinoma	"Classic Invasive Lobular Carcinoma|Infiltrating Lobular Adenocarcinoma|Infiltrating Lobular Breast Carcinoma|Infiltrating Lobular Carcinoma of Breast|Infiltrating Lobular Carcinoma of the Breast|Invasive Lobular Adenocarcinoma|Invasive Lobular Breast Carcinoma|Invasive Lobular Carcinoma of Breast|Invasive Lobular Carcinoma of the Breast|Invasive Lobular Carcinoma, Classic Type|Invasive Lobular Carcinoma"	"An infiltrating lobular adenocarcinoma of the breast.  The malignant cells lack cohesion and are arranged individually or in a linear manner (Indian files), or as narrow trabeculae within the stroma.  The malignant cells are usually smaller than those of ductal carcinoma, are less pleomorphic, and have fewer mitotic figures."	Malignant
C7904	Invasive Malignant Thymoma	"Malignant Thymoma, Invasive|Thymoma Malignant Invasive"	A malignant thymoma that extends beyond the capsule and infiltrates the surrounding tissues.	Malignant
C36085	Invasive Papillary Breast Carcinoma	Infiltrating Papillary Breast Carcinoma	A ductal breast carcinoma which invades the breast parenchyma.  It is characterized by the formation of papillary structures.	Malignant
C4231	Junctional Nevus	Intraepidermal Nevus of Skin|Intraepidermal Nevus of the Skin|Intraepidermal Nevus|Junction Nevus|Junctional Melanocytic Nevus|Junctional Melanocytoma|Junctional Nevus of Skin|Junctional Nevus of the Skin|Junctional Skin Nevus	"A nevus characterized by the presence of an intraepidermal proliferation of nevus cells. The nevus cells form multiple nests in the dermal-epidermal junction. It presents as a small, slightly raised, pigmented skin lesion."	Benign
C4276	Juvenile Fibroadenoma	Cellular Fibroadenoma|Juvenile Breast Fibroadenoma|Juvenile Fibroadenoma of Breast|Juvenile Fibroadenoma of the Breast	A fibroadenoma characterized by epithelial hyperplasia and an increased stromal cellularity.	Benign
C9233	Juvenile Myelomonocytic Leukemia	Juvenile Myelomonocytic Leukemia	"A myelodysplastic/myeloproliferative neoplasm of childhood that is characterized by proliferation principally of the granulocytic and monocytic lineages.  Myelomonocytic proliferation is seen in the bone marrow and the blood.  The leukemic cells may infiltrate any tissue, however liver, spleen, lymph nodes, skin, and respiratory tract are the most common sites of involvement. (WHO, 2001)"	Malignant
