?entity	?entity_label	?definition	?definition_sources	?parents	?synonyms	?comment
<http://purl.obolibrary.org/obo/HP_0030493>	"Abnormality of foveal pigmentation"	"An anomaly of the pigmentation in the fovea centralis."		"Abnormality of macular pigmentation (HP:0008002), Abnormal foveal morphology (HP:0000493)"		
<http://purl.obolibrary.org/obo/HP_0001098>	"Abnormal fundus morphology"	"Any structural abnormality of the fundus of the eye."		"Abnormal posterior eye segment morphology (HP:0004329)"	"Abnormality of the fundus"	
<http://purl.obolibrary.org/obo/HP_0011503>	"Aplasia of the fovea"	"Congenital absence of the fovea."	"https://orcid.org/0000-0002-0736-9199"	"Aplasia/Hypoplasia of the fovea (HP:0008060)"	"Absent fovea"	"Aplasia of the fovea can occur in aniridia and albinism."
<http://purl.obolibrary.org/obo/HP_0001136>	"Retinal arteriolar tortuosity"	"The presence of an increased number of twists and turns of the retinal arterioles."	"https://orcid.org/0000-0002-0736-9199"	"Retinal vascular tortuosity (HP:0012841), Abnormal retinal artery morphology (HP:0000630)"	"Tortuous retinal arterioles"	
<http://purl.obolibrary.org/obo/HP_0007872>	"Choroidal hemangioma"	"The presence of multiple hemangiomas in the choroid. These are generally reddish or orange or can have increased pigmentation maiking them difficult to distinguish from choroidal melanomas."	"https://orcid.org/0000-0002-0736-9199"	"Hemangioma (HP:0001028), Abnormal morphology of the choroidal vasculature (HP:0025568)"		"Choroidal hemangiomas can cause hyperopia or other visual symptoms such as blurred or distorted vision. Some choroidal hemangiomas are asymptomatic."
<http://purl.obolibrary.org/obo/HP_0500060>	"Retinopathy of prematurity zone II"	"Retinopathy which extends centrifugally from the edge of zone I to the nasal ora serrata."	"PMID:16009843, ISBN:978-3-319-52190-9"	"Retinopathy of prematurity (HP:0500049)"	"ROP zone II"	
<http://purl.obolibrary.org/obo/HP_0007661>	"Abnormality of chorioretinal pigmentation"			"Abnormal chorioretinal morphology (HP:0000532)"		
<http://purl.obolibrary.org/obo/HP_0031532>	"Focal sub-RPE deposits"	"Deposits accumulating between the retinal pigment epithelium and Bruch's membrane and that are distributed in a single focus."		"Sub-RPE deposits (HP:0031531)"		
<http://purl.obolibrary.org/obo/HP_0000488>	"Retinopathy"	"Any noninflammatory disease of the retina. This nonspecific term is retained here because of its wide use in the literature, but if possible new annotations should indicate the precise type of retinal abnormality."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal retinal morphology (HP:0000479)"	"Noninflammatory retina disease"	
<http://purl.obolibrary.org/obo/HP_0020161>	"Branch retinal artery occlusion"	"Blockage of a branch of the retinal artery. This can cause loss of a section of visual field."	"PMID:19376586, https://orcid.org/0000-0003-0986-4123"	"Retinal arterial occlusion (HP:0025326)"		
<http://purl.obolibrary.org/obo/HP_0008059>	"Aplasia/Hypoplasia of the macula"			"Aplasia/Hypoplasia of the retina (HP:0008061), Abnormal macular morphology (HP:0001103)"	"Absent/underdeveloped macula"	
<http://purl.obolibrary.org/obo/HP_0030500>	"Yellow/white lesions of the macula"			"Yellow/white lesions of the retina (HP:0030506), Abnormal macular morphology (HP:0001103)"		
<http://purl.obolibrary.org/obo/HP_0020167>	"Hemiretinal vein occlusion"	"A variant of central retinal vein occlusions that involves the superior or inferior half of the retina."	"PMID:22069354, https://orcid.org/0000-0003-0986-4123"	"Retinal vein occlusion (HP:0012636)"		
<http://purl.obolibrary.org/obo/HP_0011528>	"Solitary congenital hypertrophy of retinal pigment epithelium"	"Sharply demarcated hyperpigmentation which is congenital found in around 3-5% of the population and of no functional significance."	"https://orcid.org/0000-0001-8727-6592"	"Congenital hypertrophy of retinal pigment epithelium (HP:0007649)"	"Single isolated CHRPE, Single isolated congenital hypertrophy of retinal pigment epithelium"	
<http://purl.obolibrary.org/obo/HP_0031975>	"Increased vertical cup-to-disc ratio - 0.7"	"Ratio of the height of the cup of the optic nerve head to the height of the disk is 0.7 (The normal cup-to-disc ratio is 0.3)."	"https://orcid.org/0000-0003-0986-4123"	"Increased vertical cup-to-disc ratio (HP:0031973)"		
<http://purl.obolibrary.org/obo/HP_0033743>	"Macular agenesis"	"A congenital defect characterized by lack of development of the macula."		"Aplasia/Hypoplasia of the macula (HP:0008059)"		
<http://purl.obolibrary.org/obo/HP_0007973>	"Retinal dysplasia"	"The presence of developmental dysplasia of the retina."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal retinal morphology (HP:0000479)"	"Retinal dysgenesis"	"This feature is a congenital developmental anomaly of the retina characterized by abnormal growth and differentiation. The retina contains numerous tubular structures and rosettes. Retinal dysplasia (synonym: retinal dysgenesis) is often accompanied by retinal detachment and micropthalmos, but the latter features should be coded separately."
<http://purl.obolibrary.org/obo/HP_0500087>	"Peripapillary atrophy"	"Thinning in the layers of the retina and retinal pigment epithelium around the optic nerve."	"PMID:20920826"	"Diffuse optic disc pallor (HP:0012512)"		
<http://purl.obolibrary.org/obo/HP_0001147>	"Retinal exudate"	"Fluid which has escaped from retinal blood vessels with a high concentration of lipid, protein, and cellular debris with a typically bright, reflective, white or cream colored appearance on the surface of the retina."	"https://orcid.org/0000-0002-0736-9199"	"Yellow/white lesions of the retina (HP:0030506)"	"Retinal exudates"	"Retinal exudates indicate increased vessel permeability and an associated risk of retinal edema."
<http://purl.obolibrary.org/obo/HP_0031973>	"Increased vertical cup-to-disc ratio"	"An abnormal increase in the ratio of the height of the cup of the optic nerve head to the height of the disk."	"https://orcid.org/0000-0003-0986-4123"	"Increased cup-to-disc ratio (HP:0012796)"		"Primary open angle glaucoma is causing a progressive optic neuropathy and its development is associated with loss of tissue in the neuroretinal rim of the optic disc and that will lead to increase in the size of the optic cup. Clinical estimation of the size of the cup using either the slit lamb or a simple imaging modalities such as fundus images is a significant clinical parameter and remains the simplest and most frequently performed assessment of the optic disc in the diagnosis and follows up the progression of the glaucoma suspect. The estimation of the size of the cup is usually made by comparison with the size of the disk and given as the ratio of the vertical and horizontal diameter of the cup to the vertical and horizontal diameter."
<http://purl.obolibrary.org/obo/HP_0001093>	"Optic nerve dysplasia"	"The presence of developmental dysplasia of the optic nerve."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal optic nerve morphology (HP:0000587)"		
<http://purl.obolibrary.org/obo/HP_0007963>	"Pattern dystrophy of the retina"	"A spectrum of fundoscopic appearances characterized by the development of a variety of patterns of deposits predominantly in the macular area. The deposits are typically bilateral, relatively symmetrical, yellow/white and associated with changes at the level of the retinal pigment epithelium. With time, retinal atrophy may occur. A number of pattern dystrophy subtypes have been described including butterfly-shaped dystrophy, reticular dystrophy (net-like pattern) and fundus pulverulentus (granular, mottled pigmentation)."	"https://orcid.org/0000-0003-0986-4123"	"Retinal dystrophy (HP:0000556)"		
<http://purl.obolibrary.org/obo/HP_0031527>	"Intraretinal fluid"	"Edema/fluid accumulating within the retinal layers."		"Abnormal retinal morphology (HP:0000479)"	"Intra-retinal fluid"	
<http://purl.obolibrary.org/obo/HP_0012045>	"Retinal flecks"	"Presence of multiple yellowish-white lesions of various size and configuration on the retina not related to vascular lesions."	"PMID:7952338"	"Yellow/white lesions of the retina (HP:0030506)"		
<http://purl.obolibrary.org/obo/HP_0000608>	"Macular degeneration"	"A nonspecific term denoting degeneration of the retinal pigment epithelium and/or retinal photoreceptor cells of the macula lutea."	"https://orcid.org/0000-0003-0986-4123, https://orcid.org/0000-0002-0736-9199"	"Retinal degeneration (HP:0000546), Abnormal macular morphology (HP:0001103)"	"Pigmented macular degeneration"	
<http://purl.obolibrary.org/obo/HP_0500086>	"Optic nerve gray crescent"	"Having a characteristic appearance of a slate gray area of pigmentation within the disk margins that commonly appears along the inferotemporal or temporal neuroretinal rim areas."	"PMID:24862768"	"Temporal optic disc pallor (HP:0012511)"	"Temporal grey pigmentary crescent, Temporal gray pigmentary crescent, Optic nerve grey crescent"	"This type of disk rim pigmentation can create the impression of neuroretinal rim thinning, and thus lead to the misdiagnosis of glaucoma or \"glaucoma suspect\" with attendant implications for overtreatment or unnecessary close monitoring of such patients."
<http://purl.obolibrary.org/obo/HP_0031606>	"Retinal cotton wool spot"	"Fluffy white patch on the retina, representing localized areas of dense white swelling of the retinal nerve fiber layer. They often have a zigzag internal structure, a feathered edge but an otherwise well-delineated form and an approximately 1 mm dimension; they project slightly into the vitreous and sometimes deflect retinal vessels."	"PMID:6169833"	"Yellow/white lesions of the retina (HP:0030506)"		
<http://purl.obolibrary.org/obo/HP_0012777>	"Retinal neoplasm"	"A tumor (abnormal growth of tissue) of the retina."	"HPO_CONTRIBUTOR:CINEAS_asollie"	"Neoplasm of the eye (HP:0100012), Abnormal retinal morphology (HP:0000479)"		
<http://purl.obolibrary.org/obo/HP_0007680>	"Depigmented fundus"			"Hypopigmentation of the fundus (HP:0007894)"		
<http://purl.obolibrary.org/obo/HP_0025570>	"Choroidal vascular hyperpermeability"	"Increased tendency of choiroidal blood vessels to allow fluids to leak characterized by multifocal choroidal hyperfluorescence on indocyanine green angiography (ICGA)."	"PMID:25709392"	"Abnormal morphology of the choroidal vasculature (HP:0025568)"	"Choroidal hyperpermeability"	
<http://purl.obolibrary.org/obo/HP_0007677>	"Vitelliform-like macular lesions"	"Vitelliform maculopathy is a sharply demarcated lesion caused by the accumulation of material, often lipofuscin in the subretinal space underlying the macula."	"PMID:18289629, https://orcid.org/0000-0001-8727-6592"	"Yellow/white lesions of the macula (HP:0030500)"	"Vitelliform macular lesions"	
<http://purl.obolibrary.org/obo/HP_0025244>	"Subretinal pigment epithelium hemorrhage"	"An accumulation of blood located between the retinal pigment epithelium (RPE) and Bruch's membrane."		"Retinal hemorrhage (HP:0000573)"	"Subretinal pigment epithelium haemorrhage"	
<http://purl.obolibrary.org/obo/HP_0500057>	"Retinopathy of prematurity stage 5a"	"An open funnel detachment of the retina with generally traction in all four quadrants."	"ISBN:978-3-319-52190-9"	"Retinopathy of prematurity stage 5 (HP:0500056)"	"ROP stage 5a"	
<http://purl.obolibrary.org/obo/HP_0031531>	"Sub-RPE deposits"	"Deposits accumulating between the retinal pigment epithelium and Bruch's membrane."		"Abnormal retinal morphology (HP:0000479)"		"This feature is related to Subretinal hyporeflective spaces on macular OCT."
<http://purl.obolibrary.org/obo/HP_0025569>	"Polypoidal choroidal vasculopathy"	"The presence of aneurysmal polypoidal lesions in the choroidal vasculature. The aneurysmal dilatations, also known as polyps, may be found at subfoveal, juxtafoveal, extrafoveal, peripapillary or even peripheral regions. These polypoidal dilatations may be visible as reddish-orange subretinal nodules during ophthalmoscopic examination. The polypoidal lesions are best detected on indocyanine green angiography (ICGA) and might be associated with a branching vascular network (BVN) of neovascularization."	"PMID:24653824"	"Abnormal morphology of the choroidal vasculature (HP:0025568)"		"The presence of choroidal polyps and BVN can lead to recurrent episodes of exudative retinal detachment, serous or hemorrhagic pigment epithelial detachment (PED), subretinal hemorrhage, and subretinal exudation."
<http://purl.obolibrary.org/obo/HP_0025567>	"Central serous chorioretinopathy"	"An anomaly of the retina with serous detachment of the neurosensory retina secondary to one or more focal lesions of the retinal pigment epithelium (RPE), and associated with blurred vision, usually in one eye only and perceived typically by the patient as a dark spot in the center of the visual field with associated micropsia and metamorphopsia. Normal vision often recurs spontaneously within a few months."	"PMID:17662099"	"Abnormal chorioretinal morphology (HP:0000532)"		"The condition can be precipitated by psychosocial stress and hypercortisolism. Ophthalmoscopic signs of CSC range from mono- or paucifocal RPE lesions with prominent elevation of the neurosensory retina by clear fluid - typical of cases of recent onset - to shallow detachments overlying large patches of irregularly depigmented RPE. The spectrum of lesions includes RPE detachments. Granular or fibrinous material may accumulate in the subretinal cavity. Serous detachment often resolves spontaneously."
<http://purl.obolibrary.org/obo/HP_0012521>	"Optic nerve aplasia"	"Congenital absence of the optic nerve."	"https://orcid.org/0000-0002-0736-9199"	"Aplasia/Hypoplasia of the optic nerve (HP:0008058)"	"Aplastic optic nerve, Absent optic nerve"	
<http://purl.obolibrary.org/obo/HP_0007988>	"Macular hypopigmentation"	"Decreased amount of pigmentation in the macula lutea."	"HPO_CONTRIBUTOR:DDD_ncarter"	"Abnormality of macular pigmentation (HP:0008002)"		
<http://purl.obolibrary.org/obo/HP_0500062>	"Retinopathy of prematurity plus"	"Venous dilatation and arteriolar tortuosity of the posterior retinal vessels and may later increase in severity to include iris vascular engorgement, poor pupillary dilatation (rigid pupil), and vitreous haze. This definition has been further refined in the later clinical trials in which the diagnosis of plus disease could be made if sufficient vascular dilatation and tortuosity are present in at least 2 quadrants of the eye."	"PMID:16009843"	"Retinopathy of prematurity (HP:0500049)"	"ROP plus"	
<http://purl.obolibrary.org/obo/HP_0032028>	"Macular dots"	"Yellow, white or grayish lesions in the macula that are well-defined/distinct, individual and mostly uniform in size."	"https://orcid.org/0000-0003-0986-4123"	"Yellow/white lesions of the macula (HP:0030500)"		
<http://purl.obolibrary.org/obo/HP_0007899>	"Retinal nonattachment"	"Failure of attachment of the retina during development."	"PMID:21441919, https://orcid.org/0000-0002-0736-9199"	"Retinal detachment (HP:0000541)"	"Congenital retinal non-attachment"	
<http://purl.obolibrary.org/obo/HP_0031529>	"Focal subretinal deposits"	"Deposits accumulating between the outer retina and the retinal pigment epithelium and that have a focal distribution."		"Subretinal deposits (HP:0031528)"		
<http://purl.obolibrary.org/obo/HP_0034567>	"Optic pit"	"A developmental anomaloy characterized by congenital excavation of the optic nerve head."	"PMID:27847606"	"Abnormal optic nerve morphology (HP:0000587)"	"Optic nerve pit, Optic disc pit"	
<http://purl.obolibrary.org/obo/HP_0000609>	"Optic nerve hypoplasia"	"Underdevelopment of the optic nerve."	"https://orcid.org/0000-0002-0736-9199"	"Aplasia/Hypoplasia involving the central nervous system (HP:0002977), Aplasia/Hypoplasia of the optic nerve (HP:0008058)"	"Underdeveloped optic nerves, Hypoplastic optic nerves"	
<http://purl.obolibrary.org/obo/HP_0025581>	"Foveal hemorrhage"	"Bleeding occurring within the fovea."	"https://orcid.org/0000-0003-0986-4123"	"Macular hemorrhage (HP:0025574)"	"Foveal haemorrhage"	
<http://purl.obolibrary.org/obo/HP_0031256>	"Optic nerve arteriovenous malformation"	"An arteriovenous malformation is a disruption of the normal vascular pattern in which arteries or arterioles connect directly to the venous collection system, bypassing any capillary bed. This term refers to an arteriovenous malformation located in the optic nerve."	"PMID:23125071"	"Abnormal optic nerve morphology (HP:0000587)"		
<http://purl.obolibrary.org/obo/HP_0001105>	"Retinal atrophy"	"Well-demarcated area(s) of partial or complete depigmentation in the fundus, reflecting atrophy of the retinal pigment epithelium with associated retinal photoreceptor loss."	"https://orcid.org/0000-0003-0986-4123"	"Retinal degeneration (HP:0000546)"		
<http://purl.obolibrary.org/obo/HP_0007986>	"Increased retinal vascularity"			"Abnormal retinal vascular morphology (HP:0008046)"		
<http://purl.obolibrary.org/obo/HP_0025239>	"Subhyaloid hemorrhage"	"A localized detachment of the vitreous from the retina due to the accumulation of blood. When localized in the macular area, it results in sudden profound loss of vision. Subhyaloid premacular hemorrhage is typically characterized by a circumscribed, round or dumb-bell shaped, bright red mound of blood beneath the internal limiting membrane (ILM) or between the ILM and hyaloid face, in or near to the central macular area."	"PMID:27090882"	"Preretinal hemorrhage (HP:0025240)"	"Subhyaloid heme, Subhyaloid haemorrhage"	"Clinically speaking, distinguishing between preretinal and subhyaloid hemorrhages is difficult. Therefore, clinicians use the terms inter-changeably. A D-shaped or boat-shaped appearance may be observed, because the blood accumulates within loosely adherent tissue of the superficial retina and can spread and settle inferiorly with gravity. A sharp demarcation line is usually evident."
<http://purl.obolibrary.org/obo/HP_0001107>	"Ocular albinism"	"An abnormal reduction in the amount of pigmentation (reduced or absent) of the iris and retina."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal fundus morphology (HP:0001098), Iris hypopigmentation (HP:0007730)"	"Albinism, Ocular, Absent pigmentation in the eye"	"Ocular pigmentation is essential for normal vision, and persons with ocular albinism tend to have severely reduced visual acuity often associated with nystagmus, strabismus, and photophobia."
<http://purl.obolibrary.org/obo/HP_0032270>	"Optic nerve tram-track sign"	"A tram-track sign is composed of two enhancing areas of tumor separated from each other by the negative defect of the optic nerve. It is seen on contrast-enhanced CT scan and MRI images, in optic nerve sheath meningioma. The sign helps distinguish between optic nerve sheath meningioma and optic glioma. Optic glioma arises from glial cells within the optic nerve and there is no clear separation between the nerve and the tumor; hence the tram-track sign is not seen in optic gliomas. Calcification may be seen in optic nerve sheath meningiomas in 20-50% of cases and hence the tram-track sign may be seen on nonenhanced CT scan images as a linear calcification around the nerve, but this is less common."	"PMID:19881070"	"Abnormal optic nerve morphology (HP:0000587)"		
<http://purl.obolibrary.org/obo/HP_0008035>	"Retinitis pigmentosa inversa"	"Retinitis pigmentosa inversa is form of retinal degeneration characterized by areas of retinal/chorioretinal degeneration with pigment migration in the macular area (in contrast to retinitis pigmentosa which, at early disease stages, predominantly affects the retinal periphery)."	"PMID:9734800, https://orcid.org/0000-0003-0986-4123"	"Retinal degeneration (HP:0000546)"	"Central retinitis pigmentosa"	
<http://purl.obolibrary.org/obo/HP_0000556>	"Retinal dystrophy"	"Retinal dystrophy is an abnormality of the retina associated with a hereditary process. Retinal dystrophies are defined by their predominantly monogenic inheritance and they are frequently associated with loss or dysfunction of photoreceptor cells as a primary or secondary event."	"https://orcid.org/0000-0003-0986-4123"	"Abnormal retinal morphology (HP:0000479)"	"Breakdown of light-sensitive cells in back of eye"	
<http://purl.obolibrary.org/obo/HP_0007777>	"Chorioretinal scar"	"Fibrous connective tissue resulting from incomplete healing of a wound (i.e., a scar) located in the choroid and retina or the eye."		"Chorioretinal degeneration (HP:0200065), Scarring (HP:0100699)"		
<http://purl.obolibrary.org/obo/HP_0030636>	"Occult macular dystrophy"	"Occult macular dystrophy is a, typically hereditary, abnormality of the macula associated with progressive foveal cone dysfunction and no apparent fundoscopic, full-field electroretinogram (ERG), or fluorescein angiogram abnormalities."	"https://orcid.org/0000-0003-0986-4123"	"Macular dystrophy (HP:0007754)"		
<http://purl.obolibrary.org/obo/HP_0007703>	"Abnormality of retinal pigmentation"			"Abnormal retinal morphology (HP:0000479)"	"Abnormality of retinal pigment epithelium, Retinal pigmentary anomaly, Abnormal retinal pigmentation, Abnormality of RPE"	
<http://purl.obolibrary.org/obo/HP_0000648>	"Optic atrophy"	"Atrophy of the optic nerve. Optic atrophy results from the death of the retinal ganglion cell axons that comprise the optic nerve and manifesting as a pale optic nerve on fundoscopy."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal optic disc morphology (HP:0012795)"	"Optic-nerve degeneration, Optic nerve atrophy"	"The diagnosis of optic atrophy is made when the optic disc loses its normal orange-pink color. Optic atrophy is an end stage that arises from myriad causes of optic nerve damage anywhere along the path from the retina to the lateral geniculate. Some of the most common etiologies are advanced glaucoma, optic neuritis, arteritic or non-arteritic ischemic optic neuropathy or a compressive lesion."
<http://purl.obolibrary.org/obo/HP_0034008>	"Opto-chiasmatic atrophy"	"Wasting (atrophy) of the optic chiasm."	"PMID:34161705"	"Abnormal optic chiasm morphology (HP:0025163)"		
<http://purl.obolibrary.org/obo/HP_0008061>	"Aplasia/Hypoplasia of the retina"			"Abnormal retinal morphology (HP:0000479), Aplasia/Hypoplasia affecting the fundus (HP:0008057)"	"Absent/small retina, Absent/underdeveloped retina"	
<http://purl.obolibrary.org/obo/HP_0007807>	"Optic nerve compression"			"Cranial nerve compression (HP:0001293), Abnormal optic nerve morphology (HP:0000587)"		
<http://purl.obolibrary.org/obo/HP_0025007>	"Ectopic fovea"	"An abnormal anatomic position of the fovea, the small, central pit composed of closely packed cones that is located in the macula of the retina."		"Abnormal foveal morphology (HP:0000493)"		
<http://purl.obolibrary.org/obo/HP_0001138>	"Optic neuropathy"			"Abnormal optic nerve morphology (HP:0000587)"	"Damaged optic nerve"	
<http://purl.obolibrary.org/obo/HP_0007843>	"Attenuation of retinal blood vessels"			"Abnormal retinal vascular morphology (HP:0008046)"	"Narrowing of blood vessels in back of eye"	
<http://purl.obolibrary.org/obo/HP_0025093>	"Peripapillary exudate"	"A retinal exudate in the area surrounding the optic nerve head."		"Retinal exudate (HP:0001147)"	"Peripapillary exudation"	
<http://purl.obolibrary.org/obo/HP_0011510>	"Drusen"	"Drusen (singular, 'druse') are tiny yellow or white accumulations of extracellular material (lipofuscin) that build up in Bruch's membrane of the eye."	"https://orcid.org/0000-0001-8727-6592"	"Yellow/white lesions of the retina (HP:0030506)"		
<http://purl.obolibrary.org/obo/HP_0007643>	"Peripheral tractional retinal detachment"	"Tractional retinal detachment at the periphery of the retina."		"Tractional retinal detachment (HP:0007917)"	"Tractional retinal detachment at the periphery of the retina, Peripheral traction retinal detachment"	
<http://purl.obolibrary.org/obo/HP_0001085>	"Papilledema"	"Papilledema refers to edema (swelling) of the optic disc secondary to any factor which increases cerebral spinal fluid pressure."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal optic disc morphology (HP:0012795)"		"The borders of the optic disc are normally clear and well defined upon fundoscopic examination. Papilledema is optic disc swelling that can lead to the blurring of optic margins and elevation of optic disc."
<http://purl.obolibrary.org/obo/HP_0011532>	"Subretinal exudate"	"A type of retinal exudate located in the subretinal space between the sensory retina and the retinal pigment epithelium."	"https://orcid.org/0000-0002-0736-9199"	"Retinal exudate (HP:0001147)"		
<http://purl.obolibrary.org/obo/HP_0007763>	"Retinal telangiectasia"	"Dilatation of small blood vessels of the retina."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal retinal vascular morphology (HP:0008046), Telangiectasia (HP:0001009)"		
<http://purl.obolibrary.org/obo/HP_0012778>	"Retinal astrocytic hamartoma"	"A glial tumor of the retinal nerve fiber layer arising from a retinal astrocyte."	"PMID:23436975, PMID:20435268"	"Retinal hamartoma (HP:0009594)"		"Classically retinal astrocytic hamartomas appear as a cream-white, well-circumscribed, elevated lesions that may present as multiple or solitary sites. A lesion is commonly seen with a multilobulated, \"mulberry\" appearance, but can also appear flat and semitranslucent. It is most frequently associated with tuberous sclerosis but may also be found rarely in patients with neurofibromatosis. Although the finding may point toward a systemic association, it can also be found incidentally on retinal examination as an isolated presentation."
<http://purl.obolibrary.org/obo/HP_0011512>	"Hyperpigmentation of the fundus"	"Increased pigmentation of the fundus"	"HPO_CONTRIBUTOR:DDD_ncarter, https://orcid.org/0000-0003-0986-4123"	"Abnormality of fundus pigmentation (HP:0031605)"	"Hyperpigmented fundus, Hyperpigmented fundi"	
<http://purl.obolibrary.org/obo/HP_0007980>	"Absent retinal pigment epithelium"			"Hypopigmentation of the fundus (HP:0007894)"		
<http://purl.obolibrary.org/obo/HP_0032416>	"Retinal microaneurysm"	"A localized dilation of microvasculature formed due to disruption of the internal elastic lamina of a retinal capillary blood vessel. The lesions present as small circular, red dots having distinct margins and are no larger than a blood vessel width at the disk margin. This expansion disturbs the normal flow pattern, changing shear force and pressure along the vessel. Shear force plays a key role in promoting the differentiation and proliferation of endothelial cells."	"PMID:24425852, PMID:23371018, https://orcid.org/0000-0002-6601-2165"	"Abnormal retinal vascular morphology (HP:0008046)"		"A microaneurysm may be a focal bulge or have a saccular, fusiform, or mixed appearance. Multiple microaneurysm may be observed in the fundus."
<http://purl.obolibrary.org/obo/HP_0007685>	"Peripheral retinal avascularization"			"Abnormal retinal vascular morphology (HP:0008046)"		
<http://purl.obolibrary.org/obo/HP_0000546>	"Retinal degeneration"	"A nonspecific term denoting degeneration of the retinal pigment epithelium and/or retinal photoreceptor cells."	"https://orcid.org/0000-0003-0986-4123, https://orcid.org/0000-0002-0736-9199"	"Abnormal retinal morphology (HP:0000479)"	"Retina degeneration"	
<http://purl.obolibrary.org/obo/HP_0020163>	"Cilioretinal artery occlusion"	"Blockage of the cilioretinal artery. The central retinal artery supplies the inner retina and the surface of the optic nerve. In some individuals, the cilioretinal artery, a branch of the ciliary circulation, may supply a portion of the retina including the macula. In cilioretinal artery occlusion, vision loss results from cell death in the inner retinal layers (mainly ganglion cells) despite relative sparing of the outer layers."	"PMID:28058169, https://orcid.org/0000-0003-0986-4123"	"Retinal arterial occlusion (HP:0025326)"		
<http://purl.obolibrary.org/obo/HP_0200056>	"Macular scar"	"Scar tissue in the macula."	"https://orcid.org/0000-0002-0736-9199"	"Scarring (HP:0100699), Macular atrophy (HP:0007401)"	"Macular scarring"	
<http://purl.obolibrary.org/obo/HP_0040030>	"Chorioretinal hypopigmentation"			"Abnormality of chorioretinal pigmentation (HP:0007661)"		
<http://purl.obolibrary.org/obo/HP_0500052>	"Retinopathy of prematurity stage 3"	"The neovascularization accumulates at the edge of the vascularized retina and extends into the vitreous (also called extra retinal fibrosis proliferation). In cases of Zone 2 and Zone 3, this may be sausage shaped. In more posterior Zone 1 disease, the stage 3 can appear as a direct extension of the normal retinal vessels but extending tangentially over the avascular retina."	"ISBN:978-3-319-52190-9"	"Retinopathy of prematurity (HP:0500049)"	"ROP stage 3"	
<http://purl.obolibrary.org/obo/HP_0011511>	"Macular schisis"	"Splitting of the retina in the macular region."	"https://orcid.org/0000-0001-8727-6592"	"Macular thickening (HP:0030498)"		"This abnormality can be seen in X-linked retinoschisis."
<http://purl.obolibrary.org/obo/HP_0000479>	"Abnormal retinal morphology"	"A structural abnormality of the retina."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal fundus morphology (HP:0001098)"	"Abnormal retina, Anomaly of the retina, Retina issue, Abnormality of the retina"	
<http://purl.obolibrary.org/obo/HP_0007937>	"Reticular pigmentary degeneration"	"A type of retinal reticular pigmentation that forms a polygonal, netlike arrangement of hyperpigmented lines forming geometric patterns in the fundus."	"PMID:28114409, HPO_CONTRIBUTOR:fprobst"	"Hyperpigmentation of the fundus (HP:0011512), Peripheral retinal degeneration (HP:0007769)"	"Honeycomb retinal degeneration, Fishnet retinal pigmentation"	
<http://purl.obolibrary.org/obo/HP_0030507>	"Retinal crystals"	"Crystalline deposits in the retina."	"PMID:12498506"	"Yellow/white lesions of the retina (HP:0030506)"		"Crystalline deposits in the retina may be associated with a wide variety of systemic disorders such as oxalosis, cystinosis, hyperornithinaemia and Sjogren-Larsson syndrome. Refractile crystalline deposits may also be a manifestation of drug toxicity like the antineoplastic agent tamoxifen, the anesthetic methoxyflurane and the oral tanning agent canthaxanthine. Crystals may also occur in drug abusers who inject multiple crushed tablets of methadone or meperidine intravenously (talc retinopathy)."
<http://purl.obolibrary.org/obo/HP_0011530>	"Retinal hole"	"A small break in the retina."	"https://orcid.org/0000-0002-0736-9199"	"Retinal perforation (HP:0011958)"	"Retinal holes"	"A retinal hole can be asymptomatic or can lead to the sudden appearance of many floaters or flashes, blurry, or wavy vision, or of a a dark shadow or curtain in the peripheral visual field."
<http://purl.obolibrary.org/obo/HP_0030640>	"Complete congenital stationary night blindness"			"Congenital stationary night blindness with normal fundus (HP:0030638)"		
<http://purl.obolibrary.org/obo/HP_0011513>	"Retinal cavernous hemangioma"	"A benign tumor of the retina that appears as a grouping of blood-filled saccules within the inner retinal layers or on the surface of the optic disc. Retinal cavernous angioma are described as having a 'cluster of grapes' appearance."	"PMID:20844673, https://orcid.org/0000-0002-0736-9199"	"Retinal vascular malformation (HP:0007797)"	"Retinal cavernous haemangioma, Retinal cavernous angioma"	"The lesions are variable in size and location, and frequently follow the course of a major retinal vein. Epiretinal membranes are a common feature. In contrast to retinal capillary hemangiomas, cavernous hemangiomas lack prominent feeder vessels, intraretinal exudate, and surrounding subretinal fluid. Because the fundoscopic features are characteristic, diagnosis can generally be made based upon clinical appearance."
<http://purl.obolibrary.org/obo/HP_0500063>	"Retinopathy of prematurity pre-plus"	"As vascular abnormalities of the posterior pole that are insufficient for the diagnosis of plus disease but that demonstrate more arterial tortuosity and more venous dilatation than normal."	"PMID:16009843"	"Retinopathy of prematurity (HP:0500049)"	"ROP pre-plus"	"Over time, the vessel abnormalities of pre-plus may progress to frank plus disease as the vessels dilate and become more tortuous."
