?concentration_phenotype	?label	?definition	?parents
<http://purl.obolibrary.org/obo/HP_0003145>	"Decreased circulating adenosylcobalamin concentration"	"The concentration of adenosylcobalam in the blood circulation is below the lower limit of normal. Adenosylcobalamin is one of the active forms of vitamin B12."	"Abnormal circulating vitamin B12 concentration"
<http://purl.obolibrary.org/obo/HP_0032572>	"Abnormal urinary nucleobase concentration"	"A deviation from the normal level of a nucleobase in the urine. Nucleobases are nitrogen-containing biological compounds that form nucleosides: adenine (A), cytosine (C), guanine (G), thymine (T), and uracil (U)."	"Abnormal urine metabolite level"
<http://purl.obolibrary.org/obo/HP_0032288>	"Polyclonal elevation of circulating IgG"	"An increase in polyclonal immunoglobulins resulting from many different plasma cells. On serum electrophoresis, a polyclonal gammopathy is characterized by a broad diffuse band with one or more heavy chains and kappa and lambda light chains."	"Increased circulating IgG level"
<http://purl.obolibrary.org/obo/HP_0031964>	"Elevated circulating alanine aminotransferase concentration"	"An abnormally high concentration in the circulation of alanine aminotransferase (ALT)."	"Elevated circulating hepatic transaminase concentration"
<http://purl.obolibrary.org/obo/HP_0006733>	"Acute megakaryocytic leukemia"	"A rare subtype of acute myeloid leukemia evolving from primitive megakaryoblasts."	"Acute leukemia"
<http://purl.obolibrary.org/obo/HP_0025455>	"Decreased CSF 5-hydroxyindolacetic acid concentration"@en	"5-HIAA (5-hydroxyindolacetic acid) concentration in the cerebrospinal fluid (CSF) is below the lower limit of normal."	"Abnormal CSF metabolite concentration"
<http://purl.obolibrary.org/obo/HP_0030781>	"Increased circulating free fatty acid level"	"A higher than normal levels of the fatty acids which can occur in plasma as a result of lipolysis in adipose tissue or when plasma triacyglycerols are taken into tissues."	"Abnormal circulating free fatty acid concentration"
<http://purl.obolibrary.org/obo/HP_0012117>	"Hyperalbuminemia"	"Elevation in the concentration of albumin in the blood."	"Abnormal circulating albumin concentration"
<http://purl.obolibrary.org/obo/HP_0012026>	"Hyperornithinemia"	"Increased concentration of ornithine in the blood."	"Abnormal circulating ornithine concentration"
<http://purl.obolibrary.org/obo/HP_0100513>	"Decreased circulating vitamin E concentration"	"A reduced concentration of vitamin E in the blood circulation. Vitamin E is a lipophilic vitamin that is also known as alpha-tocopherol."	"Abnormal circulating vitamin E concentration"
<http://purl.obolibrary.org/obo/HP_0034738>	"Reduced erythrocyte glutathione concentration"	"Concentration of glutathione in red blood cells below the lower limit of normal. Glutathione (GSH) is an important redox active biomolecule critical in the maintenance and regulation of cellular and organismal health."	"Abnormal erythrocyte metabolite concentration"
<http://purl.obolibrary.org/obo/HP_6000128>	"Elevated urinary thymidine level"	"The amount of thymidine in the urine, normalized for urine concentration, is below the lower limit of normal."	"Abnormal urinary pyrimidine level"
<http://purl.obolibrary.org/obo/HP_0003362>	"Increased VLDL cholesterol concentration"	"An increase in the amount of very-low-density lipoprotein cholesterol in the blood."	"Hyperlipoproteinemia, Abnormal VLDL cholesterol concentration"
<http://purl.obolibrary.org/obo/HP_0033074>	"Steroid-responsive anemia"	"Amelioration of anemia upon treatment with a steroid medication."	"Anemia"
<http://purl.obolibrary.org/obo/HP_0033013>	"Abnormal salivary cortisol level"	"Any deviation from the normal concentration of cortisol in saliva."	"Abnormal salivary metabolite concentration"
<http://purl.obolibrary.org/obo/HP_0003237>	"Increased circulating IgG level"	"An abnormally increased level of immunoglobulin G in blood."	"Increased circulating antibody level, Abnormal circulating IgG level"
<http://purl.obolibrary.org/obo/HP_0410190>	"Decreased glucose-6-phosphate dehydrogenase level in leukocytes"	"A decrease in the level of glucose-6-phosphate dehydrogenase in leukocytes."	"Abnormal glucose-6-phosphate dehydrogenase level in leukocytes"
<http://purl.obolibrary.org/obo/HP_0410051>	"Increased level of 3-hydroxy-3-methylglutaric acid in urine"	"The concentration of 3-hydroxy-3-methylglutaric acid in the urine, normalized for urine concentration, is above the upper limit of normal."	"Dicarboxylic aciduria"
<http://purl.obolibrary.org/obo/HP_0001985>	"Hypoketotic hypoglycemia"	"A decreased concentration of glucose in the blood associated with a reduced concentration of ketone bodies."	"Hypoglycemia"
<http://purl.obolibrary.org/obo/HP_0031300>	"Abnormal circulating properdin level"	"A deviation from the normal concentration of properdin in the blood."	"Abnormal circulating beta globulin level"
<http://purl.obolibrary.org/obo/HP_0010682>	"Elevated placental alkaline phosphatase"	"An abnormally increased level of alkaline phosphatase, placental type in the blood."	"Elevated circulating alkaline phosphatase concentration"
<http://purl.obolibrary.org/obo/HP_0032278>	"2-hydroxyglutarate aciduria"	"The concentration of 2-hydroxyglutaric acid in the urine, normalized for urine concentration, is above the upper limit of normal."	"Dicarboxylic aciduria"
<http://purl.obolibrary.org/obo/HP_0500231>	"Abnormal CSF pyruvate family amino acid concentration"@en	"Any deviation from the normal concentration of pyruvate-family amino acids in the cerebrospinal fluid."	"Abnormal CSF amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0008360>	"Neonatal hypoproteinemia"	"A neonatal decreased concentration of proteins in the blood."	"Hypoproteinemia"
<http://purl.obolibrary.org/obo/HP_0031555>	"Reduced granulocyte CD59 level"	"Reduced level of CD59 on the granulocyte surface as assessed by flow cytometry."	"Reduced granulocyte surface marker level"
<http://purl.obolibrary.org/obo/HP_0032371>	"Isoleucinuria"	"An increased concentration of isoleucine in the urine."	"Branched-chain aminoaciduria"
<http://purl.obolibrary.org/obo/HP_0410189>	"Increased glucose-6-phosphate dehydrogenase level in red blood cells"	"An increase in the level of glucose-6-phosphate dehydrogenase in red blood cells."	"Abnormal glucose-6-phosphate dehydrogenase level in red blood cells"
<http://purl.obolibrary.org/obo/HP_0033301>	"Elevated circulating 1-methylhistidine concentration"	"An abnormally increased level of 1-methylhistidine in the blood circulation. 1-methylhistidine is a derivative of L-histidine."	"Abnormal circulating non-proteinogenic amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0033405>	"Abnormal circulating organic amino compound concentration"	"Any deviation from the normal concentration of an organic amino compound, defined as a compound formally derived from ammonia by replacing one, two or three hydrogen atoms by organyl groups."	"Abnormal circulating organic compound concentration"
<http://purl.obolibrary.org/obo/HP_6000407>	"Elevated circulating fibroblast growth factor 23 concentration"	"The concentration of fibroblast growth factor 23 in the blood circulation is above the upper limit of normal."	"Abnormal circulating fibroblast growth factor 23 concentration"
<http://purl.obolibrary.org/obo/HP_0003655>	"Reduced level of N-acetylglucosaminyltransferase II"	"An abnormality of glycoprotein metabolism related to a decreased level of alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity."	"Abnormal circulating enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0033110>	"Elevated circulating alpha-aminobutyric acid concentration"	"An abnormally increased level of alpa-aminobutyric acid in the blood circulation. Alpha-aminobutyric acid alpha-amino acid that is butyric acid bearing a single amino substituent located at position 2."	"Abnormal circulating non-proteinogenic amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0031097>	"Abnormal thyroid-stimulating hormone level"	"Any deviation from the normal amount of the thyroid-stimulating hormone (TSH), which is produced by the anterior pituitary gland and stimulates the function of the thyroid gland."	"Abnormal circulating hormone concentration"
<http://purl.obolibrary.org/obo/HP_0003353>	"Propionyl-CoA carboxylase deficiency"	"An abnormality of amino acid metabolism characterized by a decreased level of propionyl-CoA carboxylase."	"Abnormal circulating enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0012024>	"Hypergalactosemia"	"Elevated concentration of galactose in the blood."	"Abnormal circulating carbohydrate concentration"
<http://purl.obolibrary.org/obo/HP_0034900>	"Decreased amniotic fluid alpha-fetoprotein concentration"	"Concentration of alpha-fetoprotein in the amniotic fluid below lower limit of normal."	"Abnormal amniotic fluid protein concentration"
<http://purl.obolibrary.org/obo/HP_0410186>	"Increased glucose-6-phosphate dehydrogenase level in tissue"	"An increase in the level of glucose-6-phosphate dehydrogenase in tissue."	"Abnormal glucose-6-phosphate dehydrogenase level in tissue"
<http://purl.obolibrary.org/obo/HP_0410308>	"Decreased specific antibody response to infection"	"A reduced ability to synthesize antibodies against antigens from an infectious agent or pathogen (such as bacteria, viruses, parasites, etc.), as measured by antibody titer determination following infection."	"Decreased circulating level of specific antibody"
<http://purl.obolibrary.org/obo/HP_0004808>	"Acute myeloid leukemia"	"A form of leukemia characterized by overproduction of an early myeloid cell."	"Acute leukemia"
<http://purl.obolibrary.org/obo/HP_0010837>	"Decreased circulating ceruloplasmin concentration"	"Decreased concentration of ceruloplasmin in the blood."	"Abnormal circulating ceruloplasmin concentration"
<http://purl.obolibrary.org/obo/HP_0012543>	"Hemosiderinuria"	"The presence of hemosiderin in the urine."	"Abnormal urine metabolite level"
<http://purl.obolibrary.org/obo/HP_6000237>	"Elevated circulating 3-hydroxybutyryl-carnitine concentration"	"Concentration of 3-hydroxybutyryl-carnitine in the blood circulation above the upper limit of normal."	"Elevated circulating C4 acylcarnitine concentration"
<http://purl.obolibrary.org/obo/HP_6000334>	"Reduced hepatic ornithine transcarbamylase activity"	"Activity or concentration of ornithine transcarbamylase in the liver below the lower limit of normal."	"Abnormal liver enzyme activity or concentration"
<http://purl.obolibrary.org/obo/HP_0005559>	"Abnormality of the kinin-kallikrein system"		"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0031980>	"Abnormal urine carboxylic acid level"	"Any deviation from the normal concentration of a carboxylic acid in the urine."	"Abnormal urine metabolite level"
<http://purl.obolibrary.org/obo/HP_0500249>	"Abnormal circulating ethanolamine concentration"@en	"Any deviation from the normal concentration of ethanolamine in circulation."	"Abnormal circulating organic amino compound concentration"
<http://purl.obolibrary.org/obo/HP_0033417>	"Elevated circulating hydroxybutyric acid concentration"	"An increased concentration in the blood circulation of a hydroxybutyric acid, that is, of a compound comprising a butyric acid core carrying at least one hydroxy substituent."	"Abnormal circulating monocarboxylic acid concentration"
<http://purl.obolibrary.org/obo/HP_0012051>	"Reactive hypoglycemia"	"Hypoglycermia following a meal (or more generally, after intake of glucose)."	"Hypoglycemia"
<http://purl.obolibrary.org/obo/HP_6000408>	"Reduced CSF asparagine concentration"	"The concentration of asparagine in the cerebrospinal fluid (CSF) is below the lower limit of normal."	"Abnormal CSF aspartate family amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0410066>	"Increased level of hippuric acid in urine"	"An increase in the level of hippuric acid in the urine."	"Abnormal urine carboxylic acid level"
<http://purl.obolibrary.org/obo/HP_0033199>	"Increased circulating interleukin 10 concentration"	"An elevation of the concentration of interleukin 10 in the blood circulation."	"Abnormal circulating interleukin 10 concentration"
<http://purl.obolibrary.org/obo/HP_0030349>	"Decreased circulating androgen concentration"	"A reduction in the blood concentration of an androgen, that is, of a steroid hormone that controls development and maintenance of masculine characteristics. The androgens include testosterone and Dehydroepiandrosterone."	"Abnormal circulating androgen level"
<http://purl.obolibrary.org/obo/HP_6000212>	"Elevated CSF dihydrothymine concentration"	"The concentration of dihydrothymine in the cerebrospinal fluid is above the upper limit of normal."	"Abnormal CSF metabolite concentration"
<http://purl.obolibrary.org/obo/HP_0020181>	"Reduced haptoglobin level"	"An abnormally low concentration of haptoglobin in the blood circulation. Decreased haptoglobin in conjunction with increased reticulocyte count and anemia may indicate hemolysis. Decreased haptoglobin levels can also occur in the absence of hemolysis, due to cirrhosis of the liver, disseminated ovarian carcinomatosis, pulmonary sarcoidosis, and elevated estrogen state."	"Abnormal circulating haptoglobin concentration"
<http://purl.obolibrary.org/obo/HP_0003606>	"Absent urinary urothione"	"Lack of urothione (the urinary metabolite of molybdenum cofactor) in the urine."	"Abnormal urine metabolite level"
<http://purl.obolibrary.org/obo/HP_0032493>	"Increased circulating trypsinogen"	"An abnormally high concentration of trypsinogen in the blood circulation."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0045041>	"Reduced circulating lactate dehydrogenase concentration"	"Concentration of lactate dehydrogenase in the blood circulation below the lower limit of normal."	"Abnormal circulating lactate dehydrogenase concentration"
<http://purl.obolibrary.org/obo/HP_4000203>	"Reduced erythrocyte arginase activity"@en	"Activity or concentration of arginase (EC 3.5.3.1) in red blood cells below the lower limit of normal. Arginase catalyzes the last step of the urea cycle."	"Abnormal erythrocyte enzyme level"
<http://purl.obolibrary.org/obo/HP_0032352>	"Methioninuria"	"Level of methionine in urine above the upper limit of normal."	"Increased sulfur amino acid level in urine"
<http://purl.obolibrary.org/obo/HP_0011966>	"Elevated plasma citrulline"	"An increased concentration of citrulline in the blood."	"Abnormal circulating citrulline concentration"
<http://purl.obolibrary.org/obo/HP_0003236>	"Elevated circulating creatine kinase concentration"	"An elevation of the level of the enzyme creatine kinase (also known as creatine phosphokinase (CK; EC 2.7.3.2) in the blood. CK levels can be elevated in a number of clinical disorders such as myocardial infarction, rhabdomyolysis, and muscular dystrophy."	"Abnormal circulating creatine kinase concentration"
<http://purl.obolibrary.org/obo/HP_6000161>	"Reduced hepatic N-acetylglutamate synthase activity"	"Concentration or activity of N-acetylglutamate synthase in liver tissue below the lower limit of normal."	"Abnormal liver enzyme activity or concentration"
<http://purl.obolibrary.org/obo/HP_0500167>	"Hypergastrinemia"	"An elevated amount of gastrin in the blood."	"Abnormal circulating gastrin concentration"
<http://purl.obolibrary.org/obo/HP_6000201>	"Reduced hepatic glucose-6-phosphate translocase activity"	"Activity of glucose-6-phosphate translocase in liver below the lower limit of normal."	"Abnormal liver enzyme activity or concentration"
<http://purl.obolibrary.org/obo/HP_0020075>	"Leucine crystalluria"	"The presence of leucine crystals in the urine."	"Crystalluria"
<http://purl.obolibrary.org/obo/HP_0034596>	"Elevated ciculating 5-hydroxymethyluracil concentration"	"An increased concentration of 5-hydroxymethyluracil in the blood circulation."	"Abnormal circulating pyrimidine concentration"
<http://purl.obolibrary.org/obo/HP_0033115>	"Elevated circulating tenascin-C level"	"Abnormally increased concentration of tenascin-C in the blood circulation."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0004870>	"Chronic hemolytic anemia"	"An chronic form of hemolytic anemia."	"Hemolytic anemia"
<http://purl.obolibrary.org/obo/HP_0034736>	"Elevated circulating alpha-oxoadipic acid concentration"	"Concentration of alpha-oxoadipic acid in the blood above the upper limit of normal."	"Abnormal circulating dicarboxylic acid concentration"
<http://purl.obolibrary.org/obo/HP_6000115>	"Decreased urine creatinine level"	"The amount of creatinine in the urine, normalized for urine concentration, is below the lower limit of normal."	"Abnormal urine metabolite level"
<http://purl.obolibrary.org/obo/HP_0031831>	"Decreased serum zinc"	"A reduced concentration of zinc in the blood."	"Abnormal blood zinc concentration"
<http://purl.obolibrary.org/obo/HP_0025684>	"Decreased amyloid beta 42 peptide CSF concentration"@en	"A reduction from the normal concentration of amyloid beta 42 peptide in the cerebrospinal fluid (CSF)."	"Abnormal amyloid beta 42 peptide CSF concentration"
<http://purl.obolibrary.org/obo/HP_0004357>	"Abnormal circulating leucine concentration"	"Any deviation from the normal circulation of leucine in the blood circulation."	"Abnormal circulating branched chain amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0033160>	"Decreased urinary guanosine level"	"The amount of guanosine in the urine, normalized for urine concentration, is below the lower limit of normal. Guanosine is a purine nucleoside in which guanine is attached to ribofuranose via a beta-N(9)-glycosidic bond."	"Abnormal urinary guanosine level"
<http://purl.obolibrary.org/obo/HP_0032425>	"Abnormal HDL3a concentration"	"Any deviation from the normal concentration of the HDL3a subfraction in the blood circulation. An HDL3a particle is defined as an HDL particle with a size of 8.2-8.79 nm."	"Abnormal HDL subfraction concentration"
<http://purl.obolibrary.org/obo/HP_0032097>	"Hypermanganesemia"	"An elevation above the normal concentration of manganese in the blood."	"Abnormal manganese concentration"
<http://purl.obolibrary.org/obo/HP_0010966>	"Abnormal circulating fatty-acid anion concentration"	"Any deviation from the normal concentration of a fatty acid anion in the blood circulation."	"Abnormal circulating fatty-acid concentration, Abnormal circulating monocarboxylic acid concentration"
<http://purl.obolibrary.org/obo/HP_0034858>	"Abnormal leukocyte enzyme concentration or activity"	"Concentration or activity of an enzyme as measured in leukocytes is above or below the limits of normal in the blood circulation."	"Abnormal enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0100530>	"Abnormal circulating calcium-phosphate regulating hormone concentration"	"Any deviation from the normal concentration in the blood circulation of a hormone that is involved in the regulation of phosphate and calcium."	"Abnormal circulating hormone concentration"
<http://purl.obolibrary.org/obo/HP_0003535>	"3-Methylglutaconic aciduria"	"An increased amount of 3-methylglutaconic acid in the urine."	"Abnormal urine carboxylic acid level"
<http://purl.obolibrary.org/obo/HP_0008301>	"Dermatan sulfate excretion in urine"	"An increased concentration of dermatan sulfate in the urine."	"Mucopolysacchariduria"
<http://purl.obolibrary.org/obo/HP_0034618>	"Abnormal circulating membrane cofactor protein concentration"	"Concentration of membrane cofactor protein in the blood circulation outside the limits of normal. Membrane cofactor protein (MCP, CD46) is a cell surface complement regulatory protein which acts as a cofactor for the factor I-mediated cleavage of the activated complement components C3b/C4b."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0003144>	"Increased serum serotonin"	"A increased concentration of serotonin in the blood."	"Abnormal circulating hormone concentration"
<http://purl.obolibrary.org/obo/HP_0001891>	"Iron deficiency anemia"		"Hypochromic anemia"
<http://purl.obolibrary.org/obo/HP_0410072>	"Increased level of ribose in urine"	"An increase in the level of ribose in the urine."	"Abnormal urine carbohydrate level"
<http://purl.obolibrary.org/obo/HP_0002154>	"Hyperglycinemia"	"An elevated concentration of glycine in the blood."	"Abnormal circulating glycine concentration"
<http://purl.obolibrary.org/obo/HP_0033191>	"Increased circulating selenium concentration"	"An increased concentration of selenium in the blood circulation."	"Abnormal circulating selenium concentration"
<http://purl.obolibrary.org/obo/HP_0034165>	"Reduced circulating interleukin 21 concentration"	"An abnormally decreased concentration of interleukin 21 in the blood circulation."	"Abnormal circulating interleukin 21 concentration"
<http://purl.obolibrary.org/obo/HP_0034543>	"Mycobacterium bacteremia"	"Presence of viable mycobacteria in the blood."	"Bacteremia"
<http://purl.obolibrary.org/obo/HP_0034745>	"Elevated circulating S-sulfocysteine concentration"	"Concentration of S-sulfocysteine in the blood circulation above the upper limit of normal."	"Abnormal circulating non-proteinogenic amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0032426>	"Abnormal HDL3b concentration"	"Any deviation from the normal concentration of the HDL3b subfraction in the blood circulation. An HDL3b particle is defined as an HDL particle with a size of 7.8-8.19 nm."	"Abnormal HDL subfraction concentration"
<http://purl.obolibrary.org/obo/HP_0003462>	"Elevated 8-dehydrocholesterol"		"Abnormal circulating cholesterol concentration"
<http://purl.obolibrary.org/obo/HP_0030355>	"Abnormal circulating interferon-gamma concentration"	"Abnormal levels of interferon gamma measured in the blood circulation."	"Abnormal circulating interferon concentration"
<http://purl.obolibrary.org/obo/HP_0002720>	"Decreased circulating IgA level"	"Decreased levels of immunoglobulin A (IgA)."	"Abnormal circulating IgA level, Decreased circulating antibody level"
<http://purl.obolibrary.org/obo/HP_0032233>	"Increased circulating creatine kinase BB isoform"	"An increased concentration of the BB isoform of creatine kinase in the blood circulation."	"Abnormal circulating creatine kinase concentration"
<http://purl.obolibrary.org/obo/HP_0003153>	"Cystathioninuria"	"An elevated urinary concentration of cystathionine."	"Increased urinary non-proteinogenic amino acid level"
<http://purl.obolibrary.org/obo/HP_0034656>	"Elevated urine 3-hydroxyglutaric level"	"The concentration of 3-hydroxyglutaric acid in the urine, normalized for urine concentration, is above the upper limit of normal."	"Dicarboxylic aciduria"
<http://purl.obolibrary.org/obo/HP_6000467>	"Elevated urine D-lactate level"	"The amount of D-lactate in the urine, normalized for urine concentration, is above the upper limit of normal. L-lactate is a familiar molecule to the human body and is also produced in large amounts in human tissues, depending on metabolic conditions. In contrast, D-lactate is produced only in minute quantities in human tissues, and is therefore not detectable in the bloodstream under normal physiological conditions."	"Aciduria"
<http://purl.obolibrary.org/obo/HP_0500238>	"Abnormal CSF albumin concentration"@en	"Any deviation from the normal concentration of albumin in the cerebrospinal fluid."	"Abnormal CSF protein concentration"
<http://purl.obolibrary.org/obo/HP_0031243>	"Decreased VLDL cholesterol concentration"	"A reduction in the amount of very-low-density lipoprotein cholesterol in the blood."	"Abnormal VLDL cholesterol concentration, Hypolipoproteinemia"
<http://purl.obolibrary.org/obo/HP_0500207>	"Decreased CSF lysine concentration"@en	"Abnormally decreased levels of lysine in cerebrospinal fluid."	"Abnormal CSF lysine concentration"
<http://purl.obolibrary.org/obo/HP_0030980>	"Reduced brain glutamine level by MRS"	"An decrease in the level of glutamine in the brain identified by magnetic resonance spectroscopy (MRS)."	"Abnormal brain glutamine level by MRS"
<http://purl.obolibrary.org/obo/HP_0012417>	"Hypocapnia"	"Abnormally reduced blood carbon dioxide (CO2) level."	"Abnormal blood carbon dioxide level"
<http://purl.obolibrary.org/obo/HP_0031836>	"Increased superoxide dismutase level"	"Increased level of catalysis of the reaction: 2 superoxide + 2 H+ = O2 + hydrogen peroxide."	"Abnormal superoxide dismutase level"
<http://purl.obolibrary.org/obo/HP_0030352>	"Abnormal serum insulin-like growth factor 1 level"	"An anomalous level of insulin-like growth factor 1 (IGF1) in the blood circulation."	"Abnormal circulating hormone concentration"
<http://purl.obolibrary.org/obo/HP_0010679>	"Elevated tissue non-specific alkaline phosphatase"	"An abnormally increased level of alkaline phosphatase, tissue-nonspecific isozyme in the blood."	"Elevated circulating alkaline phosphatase concentration"
<http://purl.obolibrary.org/obo/HP_6000398>	"Decreased CSF 3-methoxy-4-hydroxyphenylglycolaldehyde concentration"	"The concentration of 3-methoxy-4-hydroxyphenylglycolaldehyde in the cerebrospinal fluid (CSF) is below the lower limit of normal."	"Abnormal CSF metabolite concentration"
<http://purl.obolibrary.org/obo/HP_0034608>	"Decreased circulating transcobalamin II concentration"	"Concentration of transcobalamin II in the blood circulation below the lower limit of normal."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0033444>	"Elevated circulating dodecanoylcarnitine concentration"	"Concentration of dodecanoylcarnitine (C12:0) in the blood circulation above the upper limit of normal."	"Elevated circulating C12 acylcarnitine concentration"
<http://purl.obolibrary.org/obo/HP_0005526>	"Lymphoid leukemia"	"A malignant lymphocytic neoplasm of B-cell or T-cell lineage involving primarily the bone marrow and the peripheral blood. This category includes precursor or acute lymphoblastic leukemias and chronic leukemias."	"Leukemia"
<http://purl.obolibrary.org/obo/HP_0031505>	"Abnormal circulating T4 concentration"	"A deviation from the normal concentration of thyroxine in the blood. Thyroxine (also known as T4) is the main hormone secreted by the thyroid gland into the blood. It can be converted into the active form triiodothyronine (also known as T3)."	"Abnormal circulating thyroid hormone concentration"
<http://purl.obolibrary.org/obo/HP_0033326>	"Elevated circulating hydroxyphenlyllactic acid concentration"	"An increased concentration of 4-hydroxyphenlyllactic acid in the blood circulation."	"Abnormal circulating carboxylic acid concentration"
<http://purl.obolibrary.org/obo/HP_0003532>	"Ornithinuria"	"Level of ornithine in the urine above the upper limit of normal."	"Increased urinary non-proteinogenic amino acid level"
<http://purl.obolibrary.org/obo/HP_0012030>	"Increased urinary cortisol level"	"Abnormally increased concentration of cortisol in the urine."	"Abnormal urine hormone level"
<http://purl.obolibrary.org/obo/HP_0033015>	"Increased salivary cortisol level"	"Abnormally elevated concentration of cortisol in saliva."	"Abnormal salivary cortisol level"
<http://purl.obolibrary.org/obo/HP_0100507>	"Reduced blood folate concentration"	"A reduced circulating concentration of folic acid, which is also known as vitamin B9."	"Abnormal blood folate concentration"
<http://purl.obolibrary.org/obo/HP_0034290>	"Elevated circulating tiglylglycine concentration"	"Concentration of tiglylglycine in the blood circulation above the upper limit of normal."	"Abnormal circulating carboxylic acid concentration"
<http://purl.obolibrary.org/obo/HP_6000273>	"Elevated circulating decanoylcarnitine concentration"	"Concentration of decanoylcarnitine (C10:0) in the blood circulation above the upper limit of normal."	"Elevated circulating medium-chain acylcarnitine concentration"
<http://purl.obolibrary.org/obo/HP_0100586>	"Sterile pyuria"	"Patients who routinely have greater than 20 leukocytes per microliter, but have abacterial urine, are said to have sterile pyuria."	"Pyuria"
<http://purl.obolibrary.org/obo/HP_0003238>	"Hyperpepsinogenemia I"		"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0034716>	"Reduced heme oxygenase activity"	"Activity of the enzyme heme oxygenase below the lower limit of normal."	"Abnormal circulating enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0500141>	"Hypophenylalaninemia"	"A decreased amount of phenylalanine in the blood."	"Abnormal circulating phenylalanine concentration"
<http://purl.obolibrary.org/obo/HP_0012594>	"Moderate albuminuria"	"The presence of moderately increased concentrations of albumin in the urine, defined as and albumin-creatinine ratio (ACR) of 30 to 299 mg/gm (3.4 to 34 mg/mmol)."	"Albuminuria"
<http://purl.obolibrary.org/obo/HP_0031970>	"Abnormal blood urea nitrogen concentration"	"Any deviation from the normal concentration of urea nitrogen in the blood."	"Abnormal circulating nitrogen compound concentration"
<http://purl.obolibrary.org/obo/HP_0010838>	"High nonceruloplasmin-bound serum copper"	"An increased concentration of non ceruloplasmin bound copper in the blood."	"Abnormal circulating copper concentration"
<http://purl.obolibrary.org/obo/HP_0025628>	"Increased circulating myristoleate level"@en	"An abnormally high concentration of myristoleate in the blood circulation."	"Elevated circulating long chain fatty acid concentration"
<http://purl.obolibrary.org/obo/HP_0003344>	"3-Methylglutaric aciduria"	"An abnormally increased level of 3-hydroxy-3-methylglutaric acid in the urine."	"Abnormal urine carboxylic acid level"
<http://purl.obolibrary.org/obo/HP_4000164>	"Reduced bifunctional protein activity"@en	"Diminished activity of hydroxysteroid 17-beta dehydrogenase 4 (HSD17B4), also known as D-bifunctional protein (DBP), a peroxisomal enzyme that catalyzes multiple steps of beta-oxidation of very long chain fatty acids."	"Abnormal circulating enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0035028>	"Elevated circulating 3-hydroxyisovalerylcarnitine concentration"	"Concentration of 3-hydroxyisovalerylcarnitine in the blood circulation above the upper limit of normal."	"Elevated circulating C5 acylcarnitine concentration"
<http://purl.obolibrary.org/obo/HP_0500115>	"Increased stool urobilinogen concentration"	"An increased amount of urobilinogen present in the stool."	"Abnormal stool urobilinogen concentration"
<http://purl.obolibrary.org/obo/HP_0032302>	"Kappa Bence Jones proteinuria"	"The presence of free monoclonal kappa immunoglobulin light chains in the urine."	"Bence Jones Proteinuria"
<http://purl.obolibrary.org/obo/HP_0034027>	"Abnormal urinary non-proteinogenic amino acid level"	"Any deviation from the normal amount in the urine of an alpha-amino acid which is not a member of the group of 23 proteinogenic amino acids."	"Aminoaciduria"
<http://purl.obolibrary.org/obo/HP_0045036>	"Abnormal urinary copper concentration"		"Abnormal urinary mineral level"
<http://purl.obolibrary.org/obo/HP_0033356>	"Elevated circulating o-phosphoserine concentration"	"An abnormally increased level of o-phosphoserine in the blood circulation. o-phosphoserine is a derivative of serine."	"Abnormal circulating non-proteinogenic amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0002905>	"Hyperphosphatemia"	"An abnormally increased phosphate concentration in the blood."	"Abnormal blood phosphate concentration"
<http://purl.obolibrary.org/obo/HP_0033461>	"Elevated circulating 3-hydroxylinoleylcarnitine concentration"	"Increased concentration of 3-hydroxylinoleylcarnitine in the blood circulation."	"Elevated circulating C18 acylcarnitine concentration"
<http://purl.obolibrary.org/obo/HP_0012446>	"Decreased CSF 5-methyltetrahydrofolate concentration"	"A reduced concentration of 5-methyltetrahydrofolate(2-) in the cerebrospinal fluid (CSF). 5-methyltetrahydrofolate is the active folate metabolite."	"Abnormal CSF metabolite concentration"
<http://purl.obolibrary.org/obo/HP_0025135>	"Abnormal serum estriol"@en	"A deviation from normal concentration of estriol in the circulation."	"Abnormal circulating estrogen level"
