?term	?property	?translation_lang	?original_value	?translation
<http://purl.obolibrary.org/obo/HP_0009916>	<http://www.w3.org/2000/01/rdf-schema#label>		"Anisocoria"	"Anisocorie"@fr
<http://purl.obolibrary.org/obo/HP_0004444>	<http://www.w3.org/2000/01/rdf-schema#label>		"Spherocytosis"	"Sphérocytose"@fr
<http://purl.obolibrary.org/obo/HP_0002464>	<http://www.w3.org/2000/01/rdf-schema#label>		"Spastic dysarthria"	"Dysarthrie spastique"@fr
<http://purl.obolibrary.org/obo/HP_0012299>	<http://www.w3.org/2000/01/rdf-schema#label>		"Long distal phalanx of finger"	"Phalange distale du doigt anormalement longue"@fr
<http://purl.obolibrary.org/obo/HP_0030237>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hand muscle weakness"	"Faiblesse des muscles de la main"@fr
<http://purl.obolibrary.org/obo/HP_0008589>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hypoplastic helices"	"Hélix hypoplasiques"@fr
<http://purl.obolibrary.org/obo/HP_0010569>	<http://www.w3.org/2000/01/rdf-schema#label>		"Elevated 7-dehydrocholesterol"	"Augmentation du 7-déhydrocholestérol"@fr
<http://purl.obolibrary.org/obo/HP_0025596>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal inferior oblique muscle physiology"	"Physiologie anormale du muscle oblique inférieur"@fr
<http://purl.obolibrary.org/obo/HP_0006257>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of carpal bone ossification"	"Anomalie de l'ossification des os du carpe"@fr
<http://purl.obolibrary.org/obo/HP_0009296>	<http://www.w3.org/2000/01/rdf-schema#label>		"Bullet-shaped middle phalanx of the 4th finger"	"Phalange moyenne de l'annulaire en forme de balle de fusil"@fr
<http://purl.obolibrary.org/obo/HP_0004802>	<http://www.w3.org/2000/01/rdf-schema#label>		"Episodic hemolytic anemia"	"Anémie hémolytique épisodique"@fr
<http://purl.obolibrary.org/obo/HP_0025028>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of enteric nervous system morphology"	"Anomalie morphologique du système nerveux entérique"@fr
<http://purl.obolibrary.org/obo/HP_0030632>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hypoautofluorescent macular lesion"	"Lésion maculaire hypoautofluorescente"@fr
<http://purl.obolibrary.org/obo/HP_0002650>	<http://www.w3.org/2000/01/rdf-schema#label>		"Scoliosis"	"Scoliose"@fr
<http://purl.obolibrary.org/obo/HP_0004790>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hypoplasia of the small intestine"	"Intestin grêle hypoplasique"@fr
<http://purl.obolibrary.org/obo/HP_0009165>	<http://www.w3.org/2000/01/rdf-schema#label>		"Stippling of the epiphysis of the distal phalanx of the 5th finger"	"calcifications ponctuées de l'épiphyse des phalanges distales de l'auriculaire"@fr
<http://purl.obolibrary.org/obo/HP_0006413>	<http://www.w3.org/2000/01/rdf-schema#label>		"Broad tibial metaphyses"	"Métaphyses tibiales larges"@fr
<http://purl.obolibrary.org/obo/HP_0030729>	<http://www.w3.org/2000/01/rdf-schema#label>		"Frontoethmoidal meningocele"	"Méningocèle fronto-ethmoïdale"@fr
<http://purl.obolibrary.org/obo/HP_0031780>	<http://www.w3.org/2000/01/rdf-schema#label>		"Eosinophilic ascites"	"Ascite éosinophile"@fr
<http://purl.obolibrary.org/obo/HP_0003449>	<http://www.w3.org/2000/01/rdf-schema#label>		"Cold-induced muscle cramps"	"Crampes musculaires induites par le froid"@fr
<http://purl.obolibrary.org/obo/HP_0002218>	<http://www.w3.org/2000/01/rdf-schema#label>		"Silver-gray hair"	"Cheveux/poils gris argentés"@fr
<http://purl.obolibrary.org/obo/HP_0410138>	<http://www.w3.org/2000/01/rdf-schema#label>		"Vibratory urticaria"	"Urticaire vibratoire"@fr
<http://purl.obolibrary.org/obo/HP_0007670>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal vestibulo-ocular reflex"	"Réflexe vestibulooculaire anormal"@fr
<http://purl.obolibrary.org/obo/HP_0000616>	<http://www.w3.org/2000/01/rdf-schema#label>		"Miosis"	"Myosis"@fr
<http://purl.obolibrary.org/obo/HP_3000065>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal lacrimal artery morphology"	"Morphologie anormale de l'artère lacrymale"@fr
<http://purl.obolibrary.org/obo/HP_0010546>	<http://www.w3.org/2000/01/rdf-schema#label>		"Muscle fibrillation"	"Fibrillations musculaires"@fr
<http://purl.obolibrary.org/obo/HP_0010284>	<http://www.w3.org/2000/01/rdf-schema#label>		"Intra-oral hyperpigmentation"	"Hyperpigmentation intrabuccale"@fr
<http://purl.obolibrary.org/obo/HP_0010679>	<http://www.w3.org/2000/01/rdf-schema#label>		"Elevated tissue non-specific alkaline phosphatase"	"Élévation de la phosphatase alcaline tissulaire non spécifique"@fr
<http://purl.obolibrary.org/obo/HP_0011213>	<http://www.w3.org/2000/01/rdf-schema#label>		"EEG with photoparoxysmal response grade III"	"EEG (électroencéphalogramme) avec réponse photoparoxystique grade 3"@fr
<http://purl.obolibrary.org/obo/HP_0025206>	<http://www.w3.org/2000/01/rdf-schema#label>		"Triggered by cold"	"Déclenchement par le froid"@fr
<http://purl.obolibrary.org/obo/HP_0030450>	<http://www.w3.org/2000/01/rdf-schema#label>		"Neuroplasm of the autonomic nervous system"	"Neuroplasme du système nerveux autonome"
<http://purl.obolibrary.org/obo/HP_0001952>	<http://www.w3.org/2000/01/rdf-schema#label>		"Glucose intolerance"	"Intolérance au glucose"@fr
<http://purl.obolibrary.org/obo/HP_0032236>	<http://www.w3.org/2000/01/rdf-schema#label>		"Increased circulating immature neutrophil count"	"Augmentation du nombre de neutrophiles immatures dans la circulation"@fr
<http://purl.obolibrary.org/obo/HP_0011533>	<http://www.w3.org/2000/01/rdf-schema#label>		"Snowflake vitreoretinal degeneration"	"Dégénérescence vitro-rétinienne en ''flocons de neige''"@fr
<http://purl.obolibrary.org/obo/HP_0012126>	<http://www.w3.org/2000/01/rdf-schema#label>		"Stomach cancer"	"Cancer de l'estomac"@fr
<http://purl.obolibrary.org/obo/HP_0006693>	<http://www.w3.org/2000/01/rdf-schema#label>		"Myocardial steatosis"	"Stéatose myocardique"@fr
<http://purl.obolibrary.org/obo/HP_0007601>	<http://www.w3.org/2000/01/rdf-schema#label>		"Midline facial capillary hemangioma"	"Hémangiome capillaire facial médian"@fr
<http://purl.obolibrary.org/obo/HP_0006347>	<http://www.w3.org/2000/01/rdf-schema#label>		"Microdontia of primary teeth"	"Microdontie des dents de lait/primaires"@fr
<http://purl.obolibrary.org/obo/HP_0100751>	<http://www.w3.org/2000/01/rdf-schema#label>		"Esophageal neoplasm"	"Néoplasie oesophagienne"@fr
<http://purl.obolibrary.org/obo/HP_0009684>	<http://www.w3.org/2000/01/rdf-schema#label>		"Stippling of the epiphysis of the distal phalanx of the thumb"	"Calcifications ponctuées de l'épiphyse des phalanges distales du pouce"@fr
<http://purl.obolibrary.org/obo/HP_0004283>	<http://www.w3.org/2000/01/rdf-schema#label>		"Narrow palm"	"Main étroite"@fr
<http://purl.obolibrary.org/obo/HP_0012306>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal rib ossification"	"Ossification anormale des côtes"@fr
<http://purl.obolibrary.org/obo/HP_0000548>	<http://www.w3.org/2000/01/rdf-schema#label>		"Cone/cone-rod dystrophy"	"Dystrophie des cônes et des bâtonnets"@fr
<http://purl.obolibrary.org/obo/HP_0000002>	<http://purl.obolibrary.org/obo/IAO_0000115>		"Deviation from the norm of height with respect to that which is expected according to age and gender norms"	"Écart par rapport à la moyenne de la taille d'un individu, la moyenne étant déterminée selon l'âge et le sexe"
<http://purl.obolibrary.org/obo/HP_0100408>	<http://www.w3.org/2000/01/rdf-schema#label>		"Complete duplication of the distal phalanx of the 4th toe"	"Duplication complète de la phalange distale du quatrième orteil"@fr
<http://purl.obolibrary.org/obo/HP_0008391>	<http://www.w3.org/2000/01/rdf-schema#label>		"Dystrophic fingernails"	"Ongles de la main dystrophiques"@fr
<http://purl.obolibrary.org/obo/HP_0005356>	<http://www.w3.org/2000/01/rdf-schema#label>		"Decreased serum complement factor I"	"Facteur I du complément sérique diminué"@fr
<http://purl.obolibrary.org/obo/HP_0001188>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hand clenching"	"Poing serré"@fr
<http://purl.obolibrary.org/obo/HP_0011967>	<http://www.w3.org/2000/01/rdf-schema#label>		"Decreased circulating copper concentration"	"Hypocuprémie"@fr
<http://purl.obolibrary.org/obo/HP_3000073>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of levator veli palatini muscle"	"Anomalie du muscle releveur veli palatini"@fr
<http://purl.obolibrary.org/obo/HP_0009155>	<http://www.w3.org/2000/01/rdf-schema#label>		"Cone-shaped epiphysis of the proximal phalanx of the 5th finger"	"Épiphyses en forme de cône de la phalange proximale de l'auriculaire"@fr
<http://purl.obolibrary.org/obo/HP_0011733>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of adrenal physiology"	"Anomalie de la physiologie des glandes surrénales"@fr
<http://purl.obolibrary.org/obo/HP_0410227>	<http://www.w3.org/2000/01/rdf-schema#label>		"Increased anti-food allergen IgE antibody level"	"Augmentation du taux d'anticorps IgE antiallergènes alimentaires"@fr
<http://purl.obolibrary.org/obo/HP_0010446>	<http://www.w3.org/2000/01/rdf-schema#label>		"Tricuspid stenosis"	"Sténose tricuspidienne"@fr
<http://purl.obolibrary.org/obo/HP_0009396>	<http://www.w3.org/2000/01/rdf-schema#label>		"Enlarged epiphyses of the 4th finger"	"Épiphyses de l'annulaire élargies"@fr
<http://purl.obolibrary.org/obo/HP_0009634>	<http://www.w3.org/2000/01/rdf-schema#label>		"Patchy sclerosis of the proximal phalanx of the thumb"	"Sclérose irrégulière des phalanges proximales du pouce"@fr
<http://purl.obolibrary.org/obo/HP_0032158>	<http://www.w3.org/2000/01/rdf-schema#label>		"Unusual infection by anatomical site"	"Infection inhabituelle par site anatomique"@fr
<http://purl.obolibrary.org/obo/HP_0040106>	<http://www.w3.org/2000/01/rdf-schema#label>		"Morphological abnormality of the lateral semicircular canal"	"Anomalie morphologique du canal semi-circulaire latéral"@fr
<http://purl.obolibrary.org/obo/HP_0006143>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal finger flexion creases"	"Plis interphalangiens distaux anormaux"@fr
<http://purl.obolibrary.org/obo/HP_0000144>	<http://www.w3.org/2000/01/rdf-schema#label>		"Decreased fertility"	"Diminution de la fertilité"@fr
<http://purl.obolibrary.org/obo/HP_0031172>	<http://www.w3.org/2000/01/rdf-schema#label>		"Sectoral retinitis pigmentosa"	"Rétinite pigmentaire sectorielle"@fr
<http://purl.obolibrary.org/obo/HP_0012646>	<http://www.w3.org/2000/01/rdf-schema#label>		"Retractile testis"	"Rétraction du testicule"@fr
<http://purl.obolibrary.org/obo/HP_0006338>	<http://www.w3.org/2000/01/rdf-schema#label>		"Malformation of mandibular premolar"	"Malformation des prémolaires mandibulaires"@fr
<http://purl.obolibrary.org/obo/HP_0025142>	<http://www.w3.org/2000/01/rdf-schema#label>		"Constitutional symptom"	"Symptôme constitutionnel"@fr
<http://purl.obolibrary.org/obo/HP_0030900>	<http://www.w3.org/2000/01/rdf-schema#label>		"Pruritus on foot"	"Prurit du pied"@fr
<http://purl.obolibrary.org/obo/HP_0009844>	<http://www.w3.org/2000/01/rdf-schema#label>		"Broad middle phalanx of finger"	"Deuxièmes phalanges de la main larges"@fr
<http://purl.obolibrary.org/obo/HP_0012532>	<http://www.w3.org/2000/01/rdf-schema#label>		"Chronic pain"	"Douleur chronique"@fr
<http://purl.obolibrary.org/obo/HP_0002536>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal cortical gyration"	"Anomalie de la gyration corticale"@fr
<http://purl.obolibrary.org/obo/HP_0010182>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of the distal phalanges of the toes"	"anomalie des phalanges distales des pieds"@fr
<http://purl.obolibrary.org/obo/HP_0009622>	<http://www.w3.org/2000/01/rdf-schema#label>		"Distally placed thumb"	"Pouce placé distalement"@fr
<http://purl.obolibrary.org/obo/HP_0031482>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal regional left ventricular contraction"	"Contraction régionale anormale du ventricule gauche"@fr
<http://purl.obolibrary.org/obo/HP_0012384>	<http://www.w3.org/2000/01/rdf-schema#label>		"Rhinitis"	"Rhinite"@fr
<http://purl.obolibrary.org/obo/HP_0005202>	<http://www.w3.org/2000/01/rdf-schema#label>		"Helicobacter pylori infection"	"Infection à Helicobacter pylori"@fr
<http://purl.obolibrary.org/obo/HP_0010754>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of the temporomandibular joint"	"Anomalie de l'articulation temporomandibulaire"@fr
<http://purl.obolibrary.org/obo/HP_0004296>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of gastrointestinal vasculature"	"Anomalie de la vascularisation gastro-intestinale"
<http://purl.obolibrary.org/obo/HP_0031191>	<http://www.w3.org/2000/01/rdf-schema#label>		"Deep dermal perivascular inflammatory infiltrate"	"Infiltrat inflammatoire périvasculaire dermique profond"@fr
<http://purl.obolibrary.org/obo/HP_0011726>	<http://www.w3.org/2000/01/rdf-schema#label>		"Persistent fetal circulation"	"Circulation foetale persistante"@fr
<http://purl.obolibrary.org/obo/HP_0009927>	<http://www.w3.org/2000/01/rdf-schema#label>		"Aplasia of the nose"	"Aplasie du nez"@fr
<http://purl.obolibrary.org/obo/HP_0011853>	<http://www.w3.org/2000/01/rdf-schema#label>		"Serous pericardial effusion"	"épanchement péricardique séreux"@fr
<http://purl.obolibrary.org/obo/HP_0009281>	<http://www.w3.org/2000/01/rdf-schema#label>		"Aplasia of the 4th finger"	"aplasie de l'annulaire"@fr
<http://purl.obolibrary.org/obo/HP_0020038>	<http://www.w3.org/2000/01/rdf-schema#label>		"Vertebrobasilar dolichoectasia"	"Dolichoectasie vertébrobasilaire"@fr
<http://purl.obolibrary.org/obo/HP_0025177>	<http://www.w3.org/2000/01/rdf-schema#label>		"Peribronchovascular interstitial thickening"	"Épaississement interstitiel péribronchovasculaire"@fr
<http://purl.obolibrary.org/obo/HP_0011309>	<http://www.w3.org/2000/01/rdf-schema#label>		"Tapered toe"	"orteil fusiforme"@fr
<http://purl.obolibrary.org/obo/HP_0005486>	<http://www.w3.org/2000/01/rdf-schema#label>		"Small fontanelle"	"Petite fontanelle"@fr
<http://purl.obolibrary.org/obo/HP_0040080>	<http://www.w3.org/2000/01/rdf-schema#label>		"Anteverted ears"	"Oreilles antéversées"@fr
<http://purl.obolibrary.org/obo/HP_0009148>	<http://www.w3.org/2000/01/rdf-schema#label>		"Small epiphysis of the distal phalanx of the 5th finger"	"Petites épiphyses de la phalange distale de l'auriculaire"@fr
<http://purl.obolibrary.org/obo/HP_0032122>	<http://www.w3.org/2000/01/rdf-schema#label>		"Very low visual acuity"	"Acuité visuelle très faible"@fr
<http://purl.obolibrary.org/obo/HP_0003533>	<http://www.w3.org/2000/01/rdf-schema#label>		"Reduced acetaldehyde dehydrogenase activity"	"Diminution de l'activité acétaldéhyde déshydrogénase"
<http://purl.obolibrary.org/obo/HP_0011803>	<http://www.w3.org/2000/01/rdf-schema#label>		"Bifid nose"	"Nez bifide"@fr
<http://purl.obolibrary.org/obo/HP_0010903>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal circulating glutamine concentration"	"anomalie du métabolisme de la glutamine"@fr
<http://purl.obolibrary.org/obo/HP_0011274>	<http://www.w3.org/2000/01/rdf-schema#label>		"Recurrent mycobacterial infections"	"infections myobactériennes récidivantes"@fr
<http://purl.obolibrary.org/obo/HP_0200106>	<http://www.w3.org/2000/01/rdf-schema#label>		"Absent/shortened dynein arms"	"Bras de dynéine absents ou raccourcis"@fr
<http://purl.obolibrary.org/obo/HP_0006683>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal ventricular filling"	"Remplissage ventriculaire anormal"@fr
<http://purl.obolibrary.org/obo/HP_0010971>	<http://www.w3.org/2000/01/rdf-schema#label>		"Absence of Lutheran antigen on erythrocytes"	"absence d'antigène Luthéran sur les érythrocytes"@fr
<http://purl.obolibrary.org/obo/HP_0005291>	<http://www.w3.org/2000/01/rdf-schema#label>		"Inflammatory arteriopathy"	"Artériopathie inflammatoire"@fr
<http://purl.obolibrary.org/obo/HP_0008269>	<http://www.w3.org/2000/01/rdf-schema#label>		"Increased red cell hemolysis by shear stress"	"Hémolyse des globules rouges par stress mécanique"@fr
<http://purl.obolibrary.org/obo/HP_0009909>	<http://www.w3.org/2000/01/rdf-schema#label>		"Uplifted earlobe"	"Lobe de l'oreille surélevé"@fr
<http://purl.obolibrary.org/obo/HP_0010570>	<http://www.w3.org/2000/01/rdf-schema#label>		"Low maternal serum alpha-fetoprotein"	"alphafoetoprotéine sérique maternelle bas"
<http://purl.obolibrary.org/obo/HP_0002242>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal intestine morphology"	"Anomalie morphologique intestinale"@fr
<http://purl.obolibrary.org/obo/HP_0000188>	<http://www.w3.org/2000/01/rdf-schema#label>		"Short upper lip"	"Lèvre supérieure courte"@fr
<http://purl.obolibrary.org/obo/HP_0031792>	<http://www.w3.org/2000/01/rdf-schema#label>		"Irregular astigmatism"	"Astigmatisme irrégulier"@fr
<http://purl.obolibrary.org/obo/HP_0011340>	<http://www.w3.org/2000/01/rdf-schema#label>		"Incomplete cleft of the upper lip"	"Bec de lièvre incomplet de la lèvre supérieure"@fr
<http://purl.obolibrary.org/obo/HP_0010911>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hyperleucinemia"	"Hyperleucinémie"@fr
<http://purl.obolibrary.org/obo/HP_0001722>	<http://www.w3.org/2000/01/rdf-schema#label>		"High-output congestive heart failure"	"Insuffisance cardiaque congestive à haut débit"@fr
<http://purl.obolibrary.org/obo/HP_0007976>	<http://www.w3.org/2000/01/rdf-schema#label>		"Cerulean cataract"	"Cataracte ceruléenne"@fr
<http://purl.obolibrary.org/obo/HP_0030993>	<http://www.w3.org/2000/01/rdf-schema#label>		"Duplication of pancreatic duct"	"Duplication du canal pancréatique"@fr
<http://purl.obolibrary.org/obo/HP_0003756>	<http://www.w3.org/2000/01/rdf-schema#label>		"Skeletal myopathy"	"Myopathie squelettique"@fr
<http://purl.obolibrary.org/obo/HP_0100430>	<http://www.w3.org/2000/01/rdf-schema#label>		"Broad proximal phalanx of the 5th toe"	"Large phalange proximale du cinquième orteil"@fr
<http://purl.obolibrary.org/obo/HP_0040144>	<http://www.w3.org/2000/01/rdf-schema#label>		"L-2-hydroxyglutaric aciduria"	"Acidurie L-2-hydroxyglutarique"@fr
<http://purl.obolibrary.org/obo/HP_0040254>	<http://www.w3.org/2000/01/rdf-schema#label>		"Decreased size of the clitoris"	"Diminution de la taille du clitoris"@fr
<http://purl.obolibrary.org/obo/HP_0045025>	<http://www.w3.org/2000/01/rdf-schema#label>		"Narrow palpebral fissure"	"Fissure palpébrale étroite"@fr
<http://purl.obolibrary.org/obo/HP_0410211>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal blood gas level in cord blood"	"Niveau anormal de gaz sanguin dans le sang du cordon"@fr
<http://purl.obolibrary.org/obo/HP_0003158>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hyposthenuria"	"Hyposthénurie"@fr
<http://purl.obolibrary.org/obo/HP_0003900>	<http://www.w3.org/2000/01/rdf-schema#label>		"Small humeral epiphyses"	"Petites épiphyses humérales"@fr
<http://purl.obolibrary.org/obo/HP_0025446>	<http://www.w3.org/2000/01/rdf-schema#label>		"Anomalous insertion of papillary muscle directly into anterior mitral leaflet"	"Insertion anormale du muscle papillaire directement dans le feuillet mitral antérieur"@fr
<http://purl.obolibrary.org/obo/HP_0030449>	<http://www.w3.org/2000/01/rdf-schema#label>		"Therapeutic abortion"	"Avortement thérapeutique"@fr
<http://purl.obolibrary.org/obo/HP_0006274>	<http://www.w3.org/2000/01/rdf-schema#label>		"Reduced pancreatic beta cells"	"Réduction de la masse cellulaire béta pancréatique"@fr
<http://purl.obolibrary.org/obo/HP_0009816>	<http://www.w3.org/2000/01/rdf-schema#label>		"Lower limb undergrowth"	"Hypoplasie impliquant les os des membres inférieurs"@fr
<http://purl.obolibrary.org/obo/HP_0009961>	<http://www.w3.org/2000/01/rdf-schema#label>		"Partial duplication of the phalanges of the 3rd finger"	"Duplication partielle des phalanges du majeur"@fr
<http://purl.obolibrary.org/obo/HP_0001335>	<http://www.w3.org/2000/01/rdf-schema#label>		"Bimanual synkinesia"	"Syncinésie bimanuelle"@fr
<http://purl.obolibrary.org/obo/HP_0000556>	<http://www.w3.org/2000/01/rdf-schema#label>		"Retinal dystrophy"	"Dystrophie rétinienne"@fr
<http://purl.obolibrary.org/obo/HP_0040109>	<http://www.w3.org/2000/01/rdf-schema#label>		"Morphological abnormality of the utricle"	"Anomalie morphologique de l'utricle"@fr
<http://purl.obolibrary.org/obo/HP_0010955>	<http://www.w3.org/2000/01/rdf-schema#label>		"Dilatation of the bladder"	"Dilatation de la vessie"@fr
<http://purl.obolibrary.org/obo/HP_0006144>	<http://www.w3.org/2000/01/rdf-schema#label>		"Shortening of all proximal phalanges of the fingers"	"Phalanges moyennes et proximales courtes"@fr
<http://purl.obolibrary.org/obo/HP_0003212>	<http://www.w3.org/2000/01/rdf-schema#label>		"Increased IgE level"	"Taux d'IgE augmenté"
<http://purl.obolibrary.org/obo/HP_0010294>	<http://www.w3.org/2000/01/rdf-schema#label>		"Palate fistula"	"Fistule du palais"@fr
<http://purl.obolibrary.org/obo/HP_0002722>	<http://www.w3.org/2000/01/rdf-schema#label>		"Recurrent abscess formation"	"Formation récurrente d'abcès"@fr
<http://purl.obolibrary.org/obo/HP_0025389>	<http://www.w3.org/2000/01/rdf-schema#label>		"Pulmonary interstitial high-resolution computed tomography abnormality"	"Anomalie de la tomographie à haute résolution interstitielle pulmonaire"@fr
<http://purl.obolibrary.org/obo/HP_0100570>	<http://purl.obolibrary.org/obo/IAO_0000115>		"A tumor formed from the endocrine (argentaffin) cells of the mucosal lining of a variety of organs including the stomach and intestine. These cells are from neuroectodermal origin"	"Une tumeur formée par les cellules endocrines (argentaffines) de la muqueuse de divers organes, dont l'estomac et l'intestin. Ces cellules sont d'origine neuroectodermique."
<http://purl.obolibrary.org/obo/HP_0032010>	<http://www.w3.org/2000/01/rdf-schema#label>		"Basic constant exotropia"	"Exotropie constante de base"@fr
<http://purl.obolibrary.org/obo/HP_0010759>	<http://www.w3.org/2000/01/rdf-schema#label>		"Prominence of the premaxilla"	"Prémaxillaire proéminent"@fr
<http://purl.obolibrary.org/obo/HP_0009233>	<http://www.w3.org/2000/01/rdf-schema#label>		"Triangular shaped proximal phalanx of the 5th finger"	"phalange proximale de l'auriculaire de forme triangulaire"@fr
<http://purl.obolibrary.org/obo/HP_0000988>	<http://www.w3.org/2000/01/rdf-schema#label>		"Skin rash"	"Exanthème"@fr
<http://purl.obolibrary.org/obo/HP_0005776>	<http://www.w3.org/2000/01/rdf-schema#label>		"Carpal bone malsegmentation"	"Malsegmentation des os du carpe"@fr
<http://purl.obolibrary.org/obo/HP_0031863>	<http://www.w3.org/2000/01/rdf-schema#label>		"Bloodstream infectious agent"	"Agent infectieux de la circulation sanguine"@fr
<http://purl.obolibrary.org/obo/HP_0011179>	<http://www.w3.org/2000/01/rdf-schema#label>		"Beta-EEG"	"bêta-EEG"@fr
<http://purl.obolibrary.org/obo/HP_0006817>	<http://www.w3.org/2000/01/rdf-schema#label>		"Aplasia/Hypoplasia of the cerebellar vermis"	"Aplasie/hypoplasie du vermis cérébelleux"@fr
<http://purl.obolibrary.org/obo/HP_0040079>	<http://www.w3.org/2000/01/rdf-schema#label>		"Irregular dentition"	"Dentition irregulière"@fr
<http://purl.obolibrary.org/obo/HP_0100819>	<http://www.w3.org/2000/01/rdf-schema#label>		"Intestinal fistula"	"Fistule intestinale"@fr
<http://purl.obolibrary.org/obo/HP_0010745>	<http://www.w3.org/2000/01/rdf-schema#label>		"Aplasia of the phalanges of the toes"	"aplasie des phalanges des orteils"@fr
<http://purl.obolibrary.org/obo/HP_0002538>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of the cerebral cortex"	"Anomalie du cortex cérébral"
<http://purl.obolibrary.org/obo/HP_0012139>	<http://www.w3.org/2000/01/rdf-schema#label>		"Granulocytic hypoplasia"	"Hypoplasie granulocytaire"@fr
<http://purl.obolibrary.org/obo/HP_0031171>	<http://www.w3.org/2000/01/rdf-schema#label>		"Femoral spur"	"Éperon fémoral"@fr
<http://purl.obolibrary.org/obo/HP_0012902>	<http://www.w3.org/2000/01/rdf-schema#label>		"Myotonia of the lower limb"	"Myotonie du membre inférieur"@fr
<http://purl.obolibrary.org/obo/HP_0012603>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal urine sodium concentration"	"Sodium urinaire anormal"@fr
<http://purl.obolibrary.org/obo/HP_0032121>	<http://www.w3.org/2000/01/rdf-schema#label>		"Froment sign"	"Signe de Froment"@fr
<http://purl.obolibrary.org/obo/HP_0011727>	<http://www.w3.org/2000/01/rdf-schema#label>		"Peroneal muscle weakness"	"Faiblesse du muscle péronier"@fr
<http://purl.obolibrary.org/obo/HP_0000337>	<http://www.w3.org/2000/01/rdf-schema#label>		"Broad forehead"	"Front large"@fr
<http://purl.obolibrary.org/obo/HP_0031481>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal mitral valve physiology"	"Anomalie de la physiologie de la valve mitrale"@fr
<http://purl.obolibrary.org/obo/HP_0011854>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hemoperitoneum"	"Hémopéritoine"@fr
<http://purl.obolibrary.org/obo/HP_0002797>	<http://www.w3.org/2000/01/rdf-schema#label>		"Osteolysis"	"Ostéolyse"@fr
<http://purl.obolibrary.org/obo/HP_0010630>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of metatarsal epiphysis"	"Anomalie des épiphyses métatarsiennes"@fr
<http://purl.obolibrary.org/obo/HP_0001602>	<http://www.w3.org/2000/01/rdf-schema#label>		"Laryngeal stenosis"	"Sténose laryngée"@fr
<http://purl.obolibrary.org/obo/HP_0031190>	<http://www.w3.org/2000/01/rdf-schema#label>		"Superficial dermal perivascular inflammatory infiltrate"	"Infiltrat inflammatoire périvasculaire dermique superficiel"@fr
<http://purl.obolibrary.org/obo/HP_0009413>	<http://www.w3.org/2000/01/rdf-schema#label>		"Enlarged epiphyses of the 3rd finger"	"épiphyses du majeur élargies"@fr
<http://purl.obolibrary.org/obo/HP_0007039>	<http://www.w3.org/2000/01/rdf-schema#label>		"Symmetric lesions of the basal ganglia"	"Lésions symétriques des ganglions de la base"@fr
<http://purl.obolibrary.org/obo/HP_0008110>	<http://www.w3.org/2000/01/rdf-schema#label>		"Equinovarus deformity"	"Déformation en équinovarus"@fr
<http://purl.obolibrary.org/obo/HP_0030509>	<http://www.w3.org/2000/01/rdf-schema#label>		"Retinal racemose hemangioma"	"Hémangiome racémique rétinien"@fr
<http://purl.obolibrary.org/obo/HP_0002017>	<http://www.w3.org/2000/01/rdf-schema#label>		"Nausea and vomiting"	"Nausée et vomissement"@fr
<http://purl.obolibrary.org/obo/HP_0100052>	<http://www.w3.org/2000/01/rdf-schema#label>		"Small epiphyses of the 2nd toe"	"Petites épiphyses du second orteil"@fr
<http://purl.obolibrary.org/obo/HP_0030856>	<http://www.w3.org/2000/01/rdf-schema#label>		"Posterior staphyloma"	"Staphylome postérieur"@fr
<http://purl.obolibrary.org/obo/HP_0003831>	<http://www.w3.org/2000/01/rdf-schema#label>		"Age-dependent penetrance"	"Pénétrance dépendante de l'âge"
